year_quarter,value_type,metric,insurer,line,value
2024Q3,base,premiums_interm_ratio,2239,все линии,0.6420370555879437
2023Q3,base,premiums_interm_ratio,2239,все линии,0.5354088362871505
2024Q3,base_change,premiums_interm_ratio,2239,все линии,0.19915289415135143
2024Q3,base,premiums_interm_ratio,0928,все линии,0.6921723864305263
2023Q3,base,premiums_interm_ratio,0928,все линии,0.5427531924126896
2024Q3,base_change,premiums_interm_ratio,0928,все линии,0.27529860000201306
2024Q3,base,premiums_interm_ratio,3825,все линии,0.8161766651368872
2023Q3,base,premiums_interm_ratio,3825,все линии,0.9557073545594639
2024Q3,base_change,premiums_interm_ratio,3825,все линии,-0.14599729588446425
2024Q3,base,premiums_interm_ratio,1209,все линии,0.8963403824611306
2023Q3,base,premiums_interm_ratio,1209,все линии,0.7836610440245158
2024Q3,base_change,premiums_interm_ratio,1209,все линии,0.14378581058201714
2024Q3,base,premiums_interm_ratio,0621,все линии,0.8405619846140873
2023Q3,base,premiums_interm_ratio,0621,все линии,0.684940470740146
2024Q3,base_change,premiums_interm_ratio,0621,все линии,0.22720443676773378
2024Q3,base,premiums_interm_ratio,4331,все линии,0.8393588849881718
2023Q3,base,premiums_interm_ratio,4331,все линии,0.6120866855153937
2024Q3,base_change,premiums_interm_ratio,4331,все линии,0.37130720999331773
2024Q3,base,premiums_interm_ratio,0001,все линии,0.7991720525414057
2023Q3,base,premiums_interm_ratio,0001,все линии,0.6950571139760864
2024Q3,base_change,premiums_interm_ratio,0001,все линии,0.1497933572245998
2024Q3,rank,direct_premiums,3692,все линии,1 (+1)
2023Q3,rank,direct_premiums,3692,все линии,2 (-)
2024Q3,rank,direct_premiums,3447,все линии,2 (+3)
2023Q3,rank,direct_premiums,3447,все линии,5 (+1)
2024Q3,rank,direct_premiums,1208,все линии,3 (-2)
2023Q3,rank,direct_premiums,1208,все линии,1 (-)
2024Q3,rank,direct_premiums,2239,все линии,4 (-1)
2023Q3,rank,direct_premiums,2239,все линии,3 (+1)
2024Q3,rank,direct_premiums,0928,все линии,5 (-1)
2023Q3,rank,direct_premiums,0928,все линии,4 (-1)
2024Q3,rank,direct_premiums,3825,все линии,6 (+5)
2023Q3,rank,direct_premiums,3825,все линии,11 (-)
2024Q3,rank,direct_premiums,1209,все линии,7 (-1)
2023Q3,rank,direct_premiums,1209,все линии,6 (-1)
2024Q3,rank,direct_premiums,0621,все линии,8 (-1)
2023Q3,rank,direct_premiums,0621,все линии,7 (-)
2024Q3,rank,direct_premiums,4331,все линии,9 (-)
2023Q3,rank,direct_premiums,4331,все линии,9 (+3)
2024Q3,rank,direct_premiums,0001,все линии,10 (-2)
2023Q3,rank,direct_premiums,0001,все линии,8 (-)
2024Q3,rank,premiums_interm,3692,все линии,1 (-)
2023Q3,rank,premiums_interm,3692,все линии,1 (+1)
2024Q3,rank,premiums_interm,3447,все линии,2 (+1)
2023Q3,rank,premiums_interm,3447,все линии,3 (+1)
2024Q3,rank,premiums_interm,1208,все линии,8 (-6)
2023Q3,rank,premiums_interm,1208,все линии,2 (-1)
2024Q3,rank,premiums_interm,2239,все линии,3 (+2)
2023Q3,rank,premiums_interm,2239,все линии,5 (-)
2024Q3,rank,premiums_interm,0928,все линии,4 (+2)
2023Q3,rank,premiums_interm,0928,все линии,6 (-)
2024Q3,rank,premiums_interm,3825,все линии,6 (+3)
2023Q3,rank,premiums_interm,3825,все линии,9 (-1)
2024Q3,rank,premiums_interm,1209,все линии,5 (-1)
2023Q3,rank,premiums_interm,1209,все линии,4 (-1)
2024Q3,rank,premiums_interm,0621,все линии,7 (-)
2023Q3,rank,premiums_interm,0621,все линии,7 (-)
2024Q3,rank,premiums_interm,4331,все линии,9 (+2)
2023Q3,rank,premiums_interm,4331,все линии,11 (+1)
2024Q3,rank,premiums_interm,0001,все линии,11 (-1)
2023Q3,rank,premiums_interm,0001,все линии,10 (-1)
2024Q3,rank,premiums_interm_ratio,3692,все линии,23 (+27)
2023Q3,rank,premiums_interm_ratio,3692,все линии,50 (-4)
2024Q3,rank,premiums_interm_ratio,3447,все линии,11 (+45)
2023Q3,rank,premiums_interm_ratio,3447,все линии,56 (-2)
2024Q3,rank,premiums_interm_ratio,1208,все линии,86 (-5)
2023Q3,rank,premiums_interm_ratio,1208,все линии,81 (+5)
2024Q3,rank,premiums_interm_ratio,2239,все линии,75 (+3)
2023Q3,rank,premiums_interm_ratio,2239,все линии,78 (+1)
2024Q3,rank,premiums_interm_ratio,0928,все линии,71 (+4)
2023Q3,rank,premiums_interm_ratio,0928,все линии,75 (+6)
2024Q3,rank,premiums_interm_ratio,3825,все линии,49 (-29)
2023Q3,rank,premiums_interm_ratio,3825,все линии,20 (-4)
2024Q3,rank,premiums_interm_ratio,1209,все линии,36 (+5)
2023Q3,rank,premiums_interm_ratio,1209,все линии,41 (+1)
2024Q3,rank,premiums_interm_ratio,0621,все линии,47 (+12)
2023Q3,rank,premiums_interm_ratio,0621,все линии,59 (+4)
2024Q3,rank,premiums_interm_ratio,4331,все линии,48 (+16)
2023Q3,rank,premiums_interm_ratio,4331,все линии,64 (+10)
2024Q3,rank,premiums_interm_ratio,0001,все линии,53 (+2)
2023Q3,rank,premiums_interm_ratio,0001,все линии,55 (+11)
