metric,insurer,line,value_type,year_quarter,value
direct_losses,1216,осаго,base,2022-07-01,0.4680621816499999
direct_losses,1216,осаго,base,2023-07-01,0.2891033821299998
direct_losses,1216,осаго,base,2024-07-01,0.3023283081599999
direct_losses,1284,дмс,base,2020-07-01,2.92909032607
direct_losses,1284,дмс,base,2021-07-01,3.47165253139
direct_losses,1284,дмс,base,2022-07-01,4.4825441775799995
direct_losses,1284,дмс,base,2023-07-01,5.068005008969999
direct_losses,1284,дмс,base,2024-07-01,6.001090069
direct_losses,1284,нс и оглс,base,2020-07-01,0.2311066672599999
direct_losses,1284,нс и оглс,base,2021-07-01,0.7210036441799998
direct_losses,1284,нс и оглс,base,2022-07-01,1.01685607606
direct_losses,1284,нс и оглс,base,2023-07-01,1.2188878184599998
direct_losses,1284,нс и оглс,base,2024-07-01,1.64517457534
direct_losses,1284,осаго,base,2020-07-01,3.2345292601800004
direct_losses,1284,осаго,base,2021-07-01,3.66149320333
direct_losses,1284,осаго,base,2022-07-01,5.34319364942
direct_losses,1284,осаго,base,2023-07-01,6.01490957106
direct_losses,1284,осаго,base,2024-07-01,6.5209326155000005
direct_losses,1307,дмс,base,2020-07-01,1.85632390335
direct_losses,1307,дмс,base,2021-07-01,2.04034093979
direct_losses,1307,дмс,base,2022-07-01,2.14880967005
direct_losses,1307,дмс,base,2023-07-01,1.7567311549500002
direct_losses,1307,дмс,base,2024-07-01,1.8687829907500002
direct_losses,1307,нс и оглс,base,2020-07-01,0.2729584913399999
direct_losses,1307,нс и оглс,base,2021-07-01,0.22433865053000002
direct_losses,1307,нс и оглс,base,2022-07-01,0.3423905966899999
direct_losses,1307,нс и оглс,base,2023-07-01,0.35587205352
direct_losses,1307,нс и оглс,base,2024-07-01,0.2849001702
direct_losses,1307,осаго,base,2020-07-01,3.4944587527200004
direct_losses,1307,осаго,base,2021-07-01,5.0450198531499995
direct_losses,1307,осаго,base,2022-07-01,4.411201806079999
direct_losses,1307,осаго,base,2023-07-01,3.5302186880199997
direct_losses,1307,осаго,base,2024-07-01,4.22604543357
direct_losses,1336,дмс,base,2020-07-01,0.4057285926399999
direct_losses,1336,дмс,base,2021-07-01,0.53362876615
direct_losses,1336,дмс,base,2022-07-01,0.53564297475
direct_losses,1336,дмс,base,2023-07-01,0.59229676524
direct_losses,1336,дмс,base,2024-07-01,0.65084587245
direct_losses,1336,нс и оглс,base,2020-07-01,0.0002432
direct_losses,1336,нс и оглс,base,2021-07-01,0.0002148
direct_losses,1336,нс и оглс,base,2022-07-01,0.00112225
direct_losses,1336,нс и оглс,base,2023-07-01,0.0012129999999999999
direct_losses,1336,нс и оглс,base,2024-07-01,0.00025625
direct_losses,1372,дмс,base,2020-07-01,0.00032077
direct_losses,1412,дмс,base,2020-07-01,0.0032914857799999997
direct_losses,1412,дмс,base,2021-07-01,0.00309059087
direct_losses,1412,дмс,base,2022-07-01,0.004797058769999699
direct_losses,1412,дмс,base,2023-07-01,0.00777997569
direct_losses,1412,дмс,base,2024-07-01,0.00932744621
direct_losses,1412,нс и оглс,base,2020-07-01,0.00407322572
direct_losses,1412,нс и оглс,base,2021-07-01,0.0065435758999998
direct_losses,1412,нс и оглс,base,2022-07-01,0.00853442703
direct_losses,1412,нс и оглс,base,2023-07-01,0.0055705547099999
direct_losses,1412,нс и оглс,base,2024-07-01,0.01046690523
direct_losses,1427,дмс,base,2020-07-01,0.6344211373499997
direct_losses,1427,дмс,base,2021-07-01,0.74905986377
direct_losses,1427,дмс,base,2022-07-01,0.72432105355
direct_losses,1427,дмс,base,2023-07-01,0.51902333643
direct_losses,1427,дмс,base,2024-07-01,0.0782637002999998
direct_losses,1427,нс и оглс,base,2020-07-01,0.21523661096999988
direct_losses,1427,нс и оглс,base,2021-07-01,0.2818265924199999
direct_losses,1427,нс и оглс,base,2022-07-01,0.31809600429
direct_losses,1427,нс и оглс,base,2023-07-01,0.26926511754
direct_losses,1427,нс и оглс,base,2024-07-01,0.3595925140899999
