,,,,,,,,,,,,,"пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",работников налоговых органов,,,Всего,в том числе,,,,,,,,,Всего,в том числе,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,средств воздушного транспорта,средств водного транспорта,грузов,сельскохозяйственное страхование - всего,из него,прочего имущества юридических лиц,прочего имущества граждан,,Перевозчиков,,,,,Иных владельцев (кроме перевозчиков),,,,,"организаций, эксплуатирующих 
опасные объекты","за причинение вреда вследствие недостатков товаров, работ, услуг",за причинение вреда третьим лицам,за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"страхование, осуществляемое с государственной поддержкой",,,,Всего,в том числе,,,,Всего,в том числе,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,,,,,,,,,,,,,
13,193,  АЛЬФАСТРАХОВАНИЕ - ОМС,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3447,  АЛЬФАСТРАХОВАНИЕ-ЖИЗНЬ,Москва,12267924,60203,12221531,12221505,0,26,46393,46393,19012,0,0,27381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,290,  АЛЬЯНС,Москва,1911641,221592,66,66,0,0,1892315,200081,180458,4137,0,19623,1692234,1019617,76993,12995,39842,65418,452996,0,0,337616,33757,404522,0,0,0,0,0,74191,9583,0,45400,19208,534,21663,308134,0,90896,177199,0,0,0,19260,4089,8092,7079,0
16,3828,  АЛЬЯНС ЖИЗНЬ,Москва,8409192,618996,1201914,1201579,24513,335,7207278,7207278,84644,0,0,7122634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2699,  АЛЬЯНС-МЕД,Сызрань,791,705,0,0,0,0,791,791,0,0,0,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,436,  АМТ СТРАХОВАНИЕ,Москва,111812,76114,0,0,0,0,111812,52,52,0,0,0,111760,51993,0,0,0,51751,242,0,0,0,0,59767,59048,0,0,0,59048,700,0,0,0,700,0,19,0,0,0,0,0,0,0,0,0,0,0,0
19,66,  АНГАРА,Братск,279054,0,0,0,0,0,36397,18839,17637,0,0,1202,17558,17350,10543,0,0,0,12,0,0,3183,3612,163,0,0,0,0,0,38,38,0,0,0,0,0,125,0,0,45,0,0,0,242657,242657,0,0,0
20,2982,  АНДРОМЕДА,Москва,85074,0,0,0,0,0,85074,0,0,0,0,0,85074,82765,0,0,0,0,0,0,0,82765,0,2309,0,0,0,0,0,0,0,0,0,0,0,0,2309,0,0,0,0,0,0,0,0,0,0,0
21,4324,  АРСЕНАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3193,  АРСЕНАЛЪ,Москва,947350,0,0,0,0,0,947350,131822,49148,0,0,82674,815528,299607,0,0,32658,3450,186977,0,0,71765,4757,508991,0,0,0,0,0,44042,0,0,2365,41677,5,0,424485,40459,0,6930,0,0,0,0,0,0,0,0
23,2489,  АСКО,Набережные Челны,1368613,0,0,0,0,0,522128,333034,133088,0,0,199946,189094,177946,74037,0,0,0,1723,41940,39279,13585,46661,8645,0,0,0,0,0,1185,752,0,0,433,22,5133,2148,157,0,2503,0,0,0,846485,825998,4420,16067,0
24,3999,  АСКО-ЖИЗНЬ,Набережные Челны,109607,0,109156,109156,0,0,451,451,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1894,  АСКО-ЗАБОТА,Омск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,278,  АСКОМЕД,Самара,29599,0,0,0,0,0,29599,29599,0,0,0,29599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,3767,  АСКОР,Москва,2819,0,0,0,0,0,2819,2567,2567,0,0,0,252,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2144,  АСКО-ЦЕНТР,Курск,67118,0,0,0,0,0,67118,31575,14472,0,0,17103,35543,35121,27507,0,0,0,130,360,0,5774,1350,422,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,0
29,1372,  АСТРАМЕД-МС,Екатеринбург,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,758,  АСТРА-МЕТАЛЛ,Магнитогорск,91458,0,0,0,0,0,91458,91458,0,0,0,91458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2619,  АСТРО-ВОЛГА,Самара,224565,0,0,0,0,0,54499,10818,4978,0,0,5840,43681,40516,31743,0,0,393,2837,2,0,2297,3244,3165,0,0,0,0,0,67,67,0,0,0,0,129,2961,8,0,0,0,0,0,170066,170066,0,0,0
32,2684,  АСТРО-ВОЛГА-МЕД,Самара,4194,472,0,0,0,0,4194,4194,0,0,0,4194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
