1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
67,3438,"ООО ""ПРОМИНСТРАХ""",Москва,68615.60797,-,-,-,-,68615.60797,-,-,-,-,-,68615.60797,-367.12137,-,-,-,-,-,-,-,-367.12137,-,68982.72934,-,-,-,-,-,-,-5.80699,68988.53633,-,-,-,-,-,-,-,-,-,-
68,3943,"ООО ""СК ""АК БАРС-Мед""",Казань,65481.3045,-,-,-,-,65481.3045,65481.3045,-,-,-,65481.3045,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,2042,"ООО ""СК ""Гранта""",Казань,448119.5056,-,-,-,-,448119.5056,117822.22674,112935.2153,-,-,4887.01144,330297.27886,303812.08952,243443.31979,-,-,252.5804,592.78114,-,-,12200.53025,47322.87794,20283.45208,233.68,-,-,216.89291,-,11260.14308,7749.98609,822.75,-,6201.73726,-,-,-,-,-,-,-,-
70,3823,"ООО ""СК ""Ингосстрах-Жизнь""",Москва,5377297.28618,4572345.38547,4500489.76956,51205.98558,71855.61591,804951.90071,804951.90071,788326.93268,-,-,16624.96803,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,2682,"ООО ""СК ""ИНСАЙТ""",Красногорск,342883.22384,-,-,-,-,342883.22384,72432.326,72432.326,-,-,-,270450.89784,161446.93448,161446.93448,-,-,-,-,-,-,-,-,1482.88,1482.88,-,-,-,-,-,-,-,-,107521.08336,-,-,-,-,-,-,-,-
74,1336,"ООО ""СК ""Капитал-полис""",Санкт-Петербург,946284.05906,-,-,-,-,946284.05906,697396.73088,7558.13605,-,-,689838.59483,248887.32818,247173.5446,118691.26896,-,-,-,124796.69784,-,-,3054.05167,631.52613,482.83998,236.67682,-,-,-,-,-,246.16316,-,-,1230.9436,-,-,-,-,-,-,-,-
75,2877,"ООО ""СК ""Мегарусс-Д""",Москва,795083.33538,-,-,-,-,794903.90209,238614.50486,92079.23646,-,-,146535.2684,556289.39723,555830.85203,284795.26655,-,4219.58458,-,12164.07469,-,-,251291.96087,3359.96534,458.5452,-,-,42.9252,-,-,32.3,383.32,-,-,-,-,-,-,179.43329,179.43329,-,-,-
76,4293,"ООО ""СК ""Ойлер Гермес Ру""",Москва,564844.00571,-,-,-,-,564844.00571,-,-,-,-,-,564844.00571,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,564844.00571,-,-,-,-,-,-,-,-,-
77,3972,"ООО ""СК ""Ренессанс Жизнь""",Москва,45494798.34482,44621902.1304,44621902.1304,11538677.83864,-,872896.21442,872896.21442,505503.40946,-,-,367392.80496,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,1307,"ООО ""СК ""Согласие""",Москва,23858713.19184,-,-,-,-,20117168.46133,2993405.50487,1103443.34483,49.495,-,1889962.16004,17123762.95646,15562050.08287,12415966.79852,36516.7869,26499.38277,183429.74943,454919.75085,438055.7087,393059.01809,1286144.22637,720517.67933,859438.73162,424955.05976,-1,2695.48376,145120.16825,3517.73349,14171.63566,259282.57283,9697.07787,345708.07169,356566.07028,-,-,-,3741544.73051,3652422.10523,37170.68634,51951.93894,-
79,1182,"ООО ""СК ""ТИТ""",Москва,833138.7495,-,-,-,-,833138.7495,265518.54309,150024.1251,-,-,115494.41799,567620.20641,375114.36147,242773.89474,-,30516.94389,10,-1208.23899,-,-,55658.45131,47363.31052,136461.65906,1942.27506,-,22596.21278,-,-,107513.17122,19,4391,-,56044.18588,-,-,-,-,-,-,-,-
80,3815,"ООО ""СК ""Экспресс-страхование""",Санкт-Петербург,28402.401,-,-,-,-,28402.401,-,-,-,-,-,28402.401,-,-,-,-,-,-,-,-,-,-,5456.08,-,-,-,-,-,-,2866.94,2589.14,-,22946.321,-,-,-,-,-,-,-,-
81,3803,"ООО ""СК Доминанта""",Москва,76430.32325,-,-,-,-,76430.32325,29.916,29.916,-,-,-,76400.40725,64778.96153,-,-,-,-,52859.16,-,-,11919.80153,-,11621.44572,-,-,-,-,-,875,10746.44572,-,-,-,-,-,-,-,-,-,-,-
82,0574,"ООО ""СК Екатеринбург""",Екатеринбург,383272.55654,-,-,-,-,383272.55654,84959.96179,14606.37859,-,-,70353.5832,298312.59475,284460.22343,237974.6003,-,-,-,1262.49499,-,-,26862.8208,18360.30734,10393.14026,3715.69708,-,-,-,-,129.4,5710.65218,837.391,-,3459.23106,-,-,-,-,-,-,-,-
83,3225,"ООО ""СК ИНТЕРИ""",Москва,1185051.72346,-,-,-,-,1185051.72346,3007.14245,3007.14245,-,-,-,1182044.58101,1145211.22393,1145211.22393,-,-,-,-,-,-,-,-,36833.35708,36833.35708,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
84,4104,"ООО ""СК КАРДИФ""",Москва,9375896.30994,-,-,-,-,9375896.30994,8352977.5705,8352977.5705,-,-,-,1022918.73944,479876.35037,220236.11829,-,-,-,-,-,-,-,259640.23208,139244.48728,-,-,-,-,-,-,139244.48728,-,-,403797.90179,-,-,-,-,-,-,-,-
85,2917,"ООО ""СК НИК""",Ульяновск,2.25,-,-,-,-,2.25,2.25,2.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86,3825,"ООО ""СК СОГАЗ-ЖИЗНЬ""",Москва,73677923.13304,73505693.14824,73505576.89004,69.14256,116.2582,172229.9848,172229.9848,166122.91118,-,-,6107.07362,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88,3969,"ООО ""СК Чабб""",Москва,300272.63696,-,-,-,-,300272.63696,3975.18618,3975.18618,-,-,-,296297.45078,59890.08987,-,-,-,-,21952.41801,-,-,36619.32807,1318.34379,141664.90821,-,-,-,-,-,779.67,140885.23821,-,7407.7567,87334.696,-,-,-,-,-,-,-,-
89,4179,"ООО ""СК"" Райффайзен Лайф""",Москва,4953335.00699,4696529.21961,4696529.21961,439158.00671,0,256805.78738,256805.78738,214950.25437,0,0,41855.53301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,3528,"ООО ""СМО ""Спасение""",Казань,197517.7012,-,-,-,-,197517.7012,197517.7012,-,-,-,197517.7012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91,3941,"ООО ""СМП-Страхование""",Москва,640323.20706,-,-,-,-,640323.20706,521390.3568,380842.40954,-,-,140547.94726,118932.85026,97582.85118,26746.54833,311.13264,720,-,2500.75458,-,-,53193.75905,14110.65658,1905.14937,16.25,-,54,-,-,-,1834.89937,-,-,19444.84971,-,-,-,-,-,-,-,-
92,4079,"ООО ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование Жизни""",Москва,9640634.6814,7903181.35301,7903181.35301,4442889.17162,-,1737453.32839,1737453.32839,1605133.65407,-,-,132319.67432,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
93,1580,"ООО ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование""",Москва,717300.36233,-,-,-,-,717300.36233,17372.32578,17372.32578,-,-,-,699928.03655,409420.62763,-,-,-,-,-,-,-,-,409420.62763,7798.97873,-,-,-,-,-,-,7798.97873,-,-,282708.43019,-,-,-,-,-,-,-,-
