1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
79,2042,"ООО ""СК ""Гранта""",Казань,102614035.06787,192275,0,0,0,0,102614035.06787,37925230.31987,37234555.04587,0,0,690675.274,64688804.748,55371818.16766,9042968.99142,0,0,32902.107,53107.57598,0,0,9929586.59929,36313252.89397,8071683.698,124800,124800,0,0,0,39924.5,0,5732805,2125154.198,49000,0,1245302.88234,0,0,0,0,0,0,0,0
80,3823,"ООО ""СК ""Ингосстрах-Жизнь""",Москва,11848738843.9768,151642760.06222,469306441.74447,466772738.26329,196370181.93454,2533703.48118,11379432402.2323,11379432402.2323,11158095083.2409,0,0,221337318.9914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18836135.27599
81,3837,"ООО ""СК ""Ингосстрах-М""",Москва,7186000,0,0,0,0,0,7186000,7186000,0,0,0,7186000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2169,"ООО ""СК ""Инертек""",Санкт-Петербург,322907.512,0,0,0,0,0,322907.512,6510,6510,0,0,0,316397.512,315897.512,2780,0,0,0,144250,0,0,163500,5367.512,500,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0
83,2682,"ООО ""СК ""ИНСАЙТ""",Красногорск,22526505.46049,0,0,0,0,0,22526505.46049,2318569.804,2238919.804,0,0,79650,20207935.65649,6410645.12049,6410645.12049,0,0,0,0,0,0,0,0,932815,932815,932815,0,0,0,0,0,0,0,0,0,12864475.536,0,0,0,0,0,0,0,0
84,1336,"ООО ""СК ""Капитал-полис""",Санкт-Петербург,269708597.43057,0,0,0,0,0,269708597.43057,255728666.10212,2735529.86856,0,0,252993136.23356,13979931.32845,11147886.32124,5034897.014,0,0,0,3118019.95986,0,0,2178590.22298,816379.1244,469872.79521,120625,120625,0,0,0,0,1000,1000,347247.79521,0,0,2362172.212,0,0,0,0,0,0,0,0
85,2877,"ООО ""СК ""Мегарусс-Д""",Москва,146588401.66096,0,0,0,0,0,146588401.66096,78406548.62487,53444133.56601,0,0,24962415.05886,68181853.03609,68103588.05109,11707407.00189,0,175816.024,0,62270.6808,0,0,54207071.03674,1951023.30766,78264.985,0,0,0,0,0,0,0,1100,77164.985,0,0,0,0,0,0,0,0,0,0,0
86,4293,"ООО ""СК ""Ойлер Гермес Ру""",Москва,690011975.52593,0,0,0,0,0,690011975.52593,0,0,0,0,0,690011975.52593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690011975.52593,0,0,0,0,0,0,0,0,0
87,3972,"ООО ""СК ""Ренессанс Жизнь""",Москва,2455175686.89295,1154290.12495,922523129.67087,919737480.52982,735742572.17991,2785649.14105,1532652557.22208,1532652557.22208,401153391.91672,0,0,1131499165.30536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52387639.07301
88,1307,"ООО ""СК ""Согласие""",Москва,682139729744.513,765330430.39157,0,0,0,0,10884200392.5133,2165396048.41334,810583612.96014,500000,0,1354812435.4532,8718804344.09991,5881744679.68316,477702428.65988,1236832570.71493,4614019.62384,76986057.37313,19059382.12825,20415178.55419,14149540.18369,3800792057.02368,245342985.60526,2752783866.00775,33196186.964,33196186.964,0,40000,14958898.34,2591039157.4312,384811.11088,5418828.17522,104253886.34008,3492097.64637,14272532.43967,70003265.96933,0,0,0,671255529352,67205000,671188324352,0,0
