1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
116,1623,"ООО СК ""Тюмень-Полис""",Тюмень,21269.76587,-,-,-,-,21269.76587,10656.5659,10656.5659,-,-,-,10613.19997,5932.2845,1255.1357,-,-,14,163.9605,-,-,68.60776,4430.58054,596.05146,-,-,-,-,-,-,596.05146,-,-,4084.86401,-,-,-,-,-,-,-,-
117,0667,"ООО СК ""УРАЛСИБ СТРАХОВАНИЕ""",Москва,620407.92502,-,-,-,-,620407.92502,514653.95641,456183.62122,-,-,58470.33519,105753.96861,62772.91844,22.47031,-,-,-,836.99081,-,-,8906.28456,53007.17276,11868.78882,-,-,-,-,1064.33846,-,10804.45036,-,-,31112.26135,-,-,-,-,-,-,-,-
118,4001,"ООО СК ""Чулпан-Жизнь""",Альметьевск,18238.59539,18237.78636,18150.79323,-,86.99313,0.80903,0.80903,0.80903,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
119,4365,ООО СК «БКС Страхование жизни»,Москва,256374.9314,255852.58164,255852.58164,635.00111,-,522.34976,522.34976,500.50329,-,-,21.84647,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120,4133,ООО СК ЭчДиАй Глобал,Москва,21554.29703,-,-,-,-,21554.29703,331.5356,331.5356,-,-,-,21222.76143,9847.33864,-,-,-,-,2657.00996,-,-,7190.32868,-,7694.53039,-,-,-,-,-,3753.16016,3941.37023,-,2485.4674,1195.425,-,-,-,-,-,-,-,-
121,0758,"ООО СМК ""АСТРА-МЕТАЛЛ""",Магнитогорск,20483.24694,-,-,-,-,20483.24694,20483.24694,-,-,-,20483.24694,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
122,3313,"ООО СМК ""УГМК-Медицина""",Екатеринбург,10256.2365,-,-,-,-,10256.2365,10256.2365,-,-,-,10256.2365,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
123,3245,"ООО СО ""ВЕРНА""",Краснодар,22383.11141,-,-,-,-,1758.29295,-16180.70369,-29510.54133,-,-,13329.83764,17938.99664,13853.43193,6643.73339,-,-,23.212,62.32261,8253.65334,8226.44134,-3417.27213,2287.78272,3470.1166,57.75107,-,3,173.09946,-,1367.95745,747.35442,1120.9542,-,615.44811,-,-,-,20624.81846,20624.81846,-,-,-
124,2397,"ООО СО ""Геополис""",Москва,5927.5236,-,-,-,-,5286.71148,730.76967,1.77811,-,-,728.99156,4555.94181,4496.63206,3542.29199,-,-,-,-,-,-,318.97667,635.3634,59.30975,49.61787,-,-,-,-,-,9.69188,-,-,-,-,-,-,640.81212,640.81212,-,-,-
126,0397,"ООО Страховая Компания ""Гелиос""",Москва,834599.61935,-,-,-,-,755038.74252,418282.9889,394764.52946,-,-,23518.45944,336755.75362,215050.06153,30735.28602,-,265.265,238.58586,1287.12335,-,-,117227.5559,65296.2454,109247.8982,20826.18901,-,55.92293,92.7401,468.175,56.20733,86405.68669,1342.97714,-,12457.79389,-,-,-,79560.87683,78961.60047,599.27636,-,-
127,2243,"ПАО ""АСКО-СТРАХОВАНИЕ""",Челябинск,728908.38293,-,-,-,-,177069.47717,28403.3296,12527.48208,-,-,15875.84752,148666.14757,146642.47277,125216.79763,-,-,-,116.20138,-,-,4494.58562,16814.88814,2023.6748,412.89191,-,-,-,-,161.46484,1449.31805,-,-,-,-,-,-,551838.90576,551838.90576,-,-,-
128,1834,"ПАО ""САК ""ЭНЕРГОГАРАНТ""",Москва,3252622.13197,-,-,-,-,3084429.89349,836794.55757,632834.23773,1986.19598,-,203960.31984,2247635.33592,2068387.50877,1069150.08756,577.09457,247.55987,1564.9917,328205.45598,32701.5318,26687.31575,393169.5578,242771.22949,124542.95137,8840.75506,72,40.389,3799.37815,3093.46853,4971.6676,102978.46366,746.82937,4823.11485,49881.76093,-,-,-,168192.23848,149282.18807,7312.5647,11597.48571,-
129,0001,"ПАО СК ""Росгосстрах""",Люберцы,22765877.12415,-,-,-,-,21468590.77577,10784854.68448,7526411.05357,-,-,3258443.63091,10683736.09129,9206118.61274,3134357.59527,8780.97102,8047.46026,36205.00375,135662.23629,251671.77352,251671.77352,315614.9346,5315778.63803,282767.44425,53151.2507,-,4283.0668,17502.27072,24311.83258,1018.40359,154149.47234,28351.14752,5990.93069,1188859.10361,-,-,-,1297286.34838,1272807.69583,9974.99457,14503.65798,-
130,0621,"САО ""ВСК""",Москва,23163367.89005,-,-,-,-,22245854.14092,8518640.92961,7364380.25645,204.37426,-,1154260.67316,13727213.21131,10036430.17297,5120986.12148,10896.81931,61977.42141,35407.84549,323976.37285,31499.21447,20138.87727,822736.28486,3628950.0931,386993.49264,181984.17295,-,1586.04203,9134.81213,11118.72742,532.28414,187346.32164,-4708.86767,11454.26803,3292335.27767,-,-,-,917513.74913,887451.25738,16888.58015,13173.9116,-
131,0448,"САО ""ГЕОПОЛИС""",Москва,549.7974,-,-,-,-,549.7974,549.7974,-,-,-,549.7974,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
132,0348,"САО ""ЛЕКСГАРАНТ""",Москва,19730.55698,-,-,-,-,19730.55698,5368.67652,165.67633,-,-,5203.00019,14361.88046,5703.66884,111.8366,-,3986.24587,-,98.55003,-,-,1409.7575,97.27884,2851.09441,-,-,2812.34439,-,-,-,4.51306,34.23696,-,5807.11721,-,-,-,-,-,-,-,-
133,0141,"САО ""Медэкспресс""",Санкт-Петербург,66829.40515,-,-,-,-,66355.31836,62748.95225,1402.27173,-,-,61346.68052,3606.36611,3554.83431,2958.08307,-,-,-,56.85019,-,-,288.85494,251.04611,51.5318,0.32625,-,-,-,-,-,51.20555,-,-,-,-,-,-,474.08679,474.08679,-,-,-
134,1209,"САО ""РЕСО-Гарантия""",Москва,19085159.23259,3.43336,3.43336,-,-,16104905.80391,5744818.32342,3808592.7624,828.40728,-,1936225.56102,10360087.48049,9304025.31518,6645581.04016,16991.45365,-,117.34732,211218.72467,2820.23839,-,764264.75601,1663031.75498,454421.54424,191586.79202,17.57646,19.2415,654.99346,15145.65764,7204.90258,239294.96943,497.41115,26206.98505,575433.63602,-,-,-,2980249.99532,2954108.10561,19741.62133,6400.26838,-
136,0928,"СПАО ""Ингосстрах""",Москва,16611063.14045,-,-,-,-,15370990.45834,2733503.30007,1960950.53038,341.78201,-,772552.76969,12637487.15827,10904105.93245,8034886.33704,4304.8117,38380.51201,97896.12009,232017.1425,5822.68731,-,1198296.47913,1292501.84267,586376.75146,118632.18931,-,21390.06053,97026.04819,22003.27431,50940.31298,275834.69842,550.16772,11772.84507,1135231.62929,-,-,-,1240072.68211,1202489.77614,18990.32165,18592.58432,-
