,,,,,,,,,,,,,,,,,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,средств воздушного транспорта,средств водного транспорта,грузов,сельскохозяйственное страхование - всего,из него,прочего имущества юридических лиц,прочего имущества граждан,,Перевозчиков,,,,,Иных владельцев (кроме перевозчиков),,,,,"организаций, эксплуатирующих опасные объекты","за причинение вреда вследствие недостатков товаров, работ, услуг",за причинение вреда третьим лицам,за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"страхование, осуществляемое с государственной поддержкой",,,,Всего,в том числе,,,,Всего,в том числе,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,,,,,,,,,,,,,
71,1820,  ГУТА-СТРАХОВАНИЕ,Москва,10361,0,0,0,0,0,10254,5795,5795,0,0,0,4459,2152,275,0,0,1,4,2,1,473,1397,462,0,0,0,0,0,2,1,0,0,1,7,0,324,129,0,1845,0,0,0,107,107,0,0,0
72,2214,  ДАЛЬАКФЕС,Владивосток,63639,0,0,0,0,0,7414,3496,3485,0,0,11,3918,3137,734,0,0,5,66,0,0,908,1424,763,17,0,0,0,17,10,10,0,0,0,0,7,729,0,18,0,0,0,0,56225,56225,0,0,0
73,55,  ДАЛЬЖАСО,Хабаровск,28020,0,0,0,0,0,28020,21423,12722,0,0,8701,6597,5978,261,0,0,2,3991,0,0,526,1198,619,9,9,0,0,0,3,1,0,0,2,0,0,404,203,0,0,0,0,0,0,0,0,0,0
74,525,  ДАЛЬ-РОСМЕД,Хабаровск,1971,0,0,0,0,0,1971,1971,0,0,0,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2027,  ДВАДЦАТЬ ПЕРВЫЙ ВЕК,Санкт-Петербург,98598,1940,0,0,0,0,46535,38005,38005,0,0,0,8530,3257,503,0,0,1,493,0,0,215,2045,5246,0,0,0,0,0,5015,5014,0,0,1,1,33,197,0,0,27,0,0,0,52063,52063,0,0,0
76,2842,  ДЕЛЬТА,Челябинск,330,0,0,0,0,0,330,330,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1363,  ДИАМАНТ,Москва,2212,0,0,0,0,0,2212,495,495,0,0,0,1717,721,606,0,0,0,0,0,0,33,82,996,0,0,0,0,0,292,292,0,0,0,0,24,77,603,0,0,0,0,0,0,0,0,0,0
78,206,  ДИАНА,Ангарск,32346,0,0,0,0,0,32346,27214,4274,0,0,22940,5132,4713,97,0,0,0,0,0,0,156,4460,419,0,0,0,0,0,0,0,0,0,0,10,0,392,17,0,0,0,0,0,0,0,0,0,0
79,1412,  Д2  СТРАХОВАНИЕ,Новосибирск,441611,0,0,0,0,0,441600,234482,226534,0,0,7948,207118,73796,2,0,0,0,544,0,0,1352,71898,68765,0,0,0,0,0,0,0,0,0,0,0,0,68765,0,0,64557,0,0,0,11,11,0,0,0
80,3954,  ЕВРОИНС,Смоленск,138651,1936,0,0,0,0,48802,16147,8773,0,0,7374,32655,5301,281,0,0,0,17,1576,0,223,3204,4757,0,0,0,0,0,82,82,0,0,0,0,145,3556,974,11,22586,0,0,0,89849,89849,0,0,0
