(кроме средств железнодорожного транспорта)",владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,"средств наземного транспорта 
(кроме средств железнодорожного транспорта)",средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,,,,,,,,,,,,,
69,525,  ДАЛЬ-РОСМЕД,Хабаровск,7388,0,0,0,0,0,7388,7388,0,0,0,7388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2027,  ДВАДЦАТЬ ПЕРВЫЙ ВЕК,Санкт-Петербург,2649,111,0,0,0,0,715,304,304,0,0,0,411,344,306,0,0,0,25,0,0,6,7,67,0,0,0,0,0,63,63,0,0,0,0,0,4,0,0,0,0,0,0,1934,1934,0,0,0
71,1363,  ДИАМАНТ,Москва,275,0,0,0,0,0,275,0,0,0,0,0,275,274,274,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,206,  ДИАНА,Ангарск,2273,0,0,0,0,0,2273,2199,314,0,0,1885,74,70,26,0,0,0,0,0,0,6,38,4,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
73,1412,  Д2  СТРАХОВАНИЕ,Новосибирск,6061,0,0,0,0,0,5992,5883,297,0,0,5586,109,102,3,0,0,0,0,0,0,25,74,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,69,69,0,0,0
74,3954,  ЕВРОИНС,Смоленск,9408,16,0,0,0,0,6195,5432,71,0,0,5361,763,164,109,0,0,0,1,29,0,3,22,134,0,0,0,0,0,1,1,0,0,0,0,41,19,73,0,465,0,0,0,3213,3213,0,0,0
75,990,  ЕВРОПА,Лобня,108,0,0,0,0,0,108,33,1,0,0,32,75,74,44,0,0,0,0,1,0,0,29,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,4009,  ЕРВ ТУРИСТИЧЕСКОЕ СТРАХОВАНИЕ,Москва,15578,0,0,0,0,0,15578,15544,15544,0,0,0,34,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,2,0,0,0,0,0,0,0,0
77,1595,  ЖАСКО,Вологда,131,0,0,0,0,0,9,1,1,0,0,0,8,7,5,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,122,122,0,0,0
78,263,  ЖАСО,Москва,56179,287,0,0,0,0,40185,30510,3497,0,0,27013,9675,8562,7514,676,0,0,11,0,0,123,238,806,43,0,43,0,0,44,44,0,0,0,0,0,719,0,0,307,0,0,0,15993,15886,0,107,0
79,4003,  ЖАСО-ЛАЙФ,Москва,190,0,181,181,44,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2447,  ЖЕЛЕЗНОДОРОЖНЫЙ СТРАХОВОЙ ФОНД,Нижний Новгород,224,0,0,0,0,0,224,172,102,0,0,70,52,51,6,32,0,0,2,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
81,2456,  ЗАБАЙКАЛМЕДСТРАХ,Чита,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1947,  ЗАПОЛЯРЬЕ,Салехард,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1083,  ЗЕТТА СТРАХОВАНИЕ,Москва,32710,180,0,0,0,0,19159,5675,2395,0,0,3280,13484,12959,12017,0,0,0,13,27,0,73,829,157,0,0,0,0,0,81,81,0,0,0,0,4,68,4,0,368,0,0,0,13551,13537,1,13,0
84,3616,  ИНВЕСТ-ПОЛИС,Королев,13,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
