,,,,,,,,,,,,,,,,,,,,,,,,,,,,,владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,"владельцев средств
 воздушного транспорта",владельцев средств водного транспорта,,,,,,,,,,,,,
137,4192,  НАРОДНЫЕ КАССЫ,Москва,3180814,0,0,0,0,0,3180814,0,0,0,0,0,3180814,46252,0,0,0,0,0,0,0,38521,7731,1944665,0,0,0,0,0,0,0,0,0,0,0,0,0,1944665,0,1189897,0,0,0,0,0,0,0
138,3116,  НАСКО ТАТАРСТАН,Казань,424838149752,0,0,0,0,0,405015712,118952420,101185117,0,0,17767303,286063292,247456018,7770972,108703,72728,783591,7808112,1758868,0,95503868,133649176,26313049,859277,0,0,29780,829497,42860,34600,1000,260,7000,139800,2491935,20356499,2422678,0,12294225,0,0,0,424433134040,18455000,424414679040,0
139,1826,  НАЦИОНАЛЬНАЯ СТРАХОВАЯ ГРУППА,Долгопрудный,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,3493,  НАЦИОНАЛЬНЫЕ СТРАХОВЫЕ ТРАДИЦИИ,Москва,1800,0,0,0,0,0,1800,1500,1500,0,0,0,300,300,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,3847,  НЕЗАВИСИМАЯ СТРАХОВАЯ ГРУППА,Москва,1361329043,149995,0,0,0,0,1355164043,134873948,8047109,0,0,126826839,1220290095,1117043214,740879,0,196209686,3212,843774331,0,0,74543638,1771468,103246881,0,0,0,0,0,94893784,55290,0,94838494,0,0,10000,8343097,0,0,0,0,0,0,6165000,6165000,0,0
142,2917,  НИК,Ульяновск,1350415866,0,0,0,0,0,1350415866,2225199,2030850,0,0,194349,1348190667,349985598,352513,0,346159989,0,1897508,0,0,1314584,261004,994430406,994261376,5600,0,994255776,0,84000,83000,0,1000,0,0,0,85030,0,0,3774663,0,0,0,0,0,0,0
143,401,  НИК-ЛАЙФ,Ульяновск,8500,0,0,0,0,0,8500,8500,8500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,4323,  НКО ОВСС,Москва,128124,0,0,0,0,0,128124,0,0,0,0,0,128124,0,0,0,0,0,0,0,0,0,0,128124,0,0,0,0,0,0,0,0,0,0,0,0,0,128124,0,0,0,0,0,0,0,0,0
145,1961,  НОВЫЙ УРЕНГОЙ,Новый Уренгой,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,3295,  НСГ-РОСЭНЕРГО,Горно-Алтайск,80065003,0,0,0,0,0,80065003,57508046,42205432,0,0,15302614,22556957,22386087,19249900,0,0,0,174150,112027,0,602101,2247909,170870,0,0,0,0,0,0,0,0,0,0,0,5100,165770,0,0,0,0,0,0,0,0,0,0
147,3010,  ОБЛАСТНАЯ МЕД.СТРАХ. КОМПАНИЯ,Калининград обл.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,2346,  ОБЪЕДИНЕННАЯ СТРАХОВАЯ КОМПАНИЯ,Самара,20857638698,0,0,0,0,0,98303786,15450511,12289712,0,0,3160799,82853275,77169792,22478009,0,0,529265,21539643,500,0,25018273,7604102,5683483,206560,26000,0,0,180560,1467770,1333800,0,1540,132430,9000,2088126,1912027,0,0,0,0,0,0,20759334912,10240000,20749094912,0
149,4314,  ОВС ЗАСТРОЙЩИКОВ,Москва,280910504,0,0,0,0,0,280910504,0,0,0,0,0,280910504,0,0,0,0,0,0,0,0,0,0,280910504,0,0,0,0,0,0,0,0,0,0,0,0,0,280910504,0,0,0,0,0,0,0,0,0
150,4348,  ОВС МЕД,Тюмень,9000,0,0,0,0,0,9000,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0
151,4301,  ОВС НОВС,Камышин,1740299,0,0,0,0,0,1740299,0,0,0,0,0,1740299,0,0,0,0,0,0,0,0,0,0,1347589,0,0,0,0,0,0,0,0,0,0,0,0,0,1347589,0,392710,0,0,0,0,0,0,0
152,4293,  ОЙЛЕР ГЕРМЕС РУ,Москва,392203371,0,0,0,0,0,392203371,0,0,0,0,0,392203371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392203371,0,0,0,0,0,0,0,0
153,3099,  ОПОРА,Москва,322014384216,0,0,0,0,0,486438508,275370710,265405872,0,0,9964838,211067798,130113490,9302174,0,0,0,6813984,2572937,2035590,96066714,15357681,73125989,0,0,0,0,0,97600,97600,0,0,0,233673,15306384,57477753,10579,3455509,4372810,0,0,0,321527945708,2750000,321525195708,0
154,326,  ОРБИТА,Москва,39237582,0,0,0,0,0,39237582,98698,30720,0,0,67978,39138884,1745927,51240,0,0,0,20842,0,0,1644754,29091,37332937,0,0,0,0,0,0,0,0,0,0,0,36816837,516100,0,0,60020,0,0,0,0,0,0,0
155,4008,  ОСЖ РЕСО-ГАРАНТИЯ,Москва,14520983,0,282973,282973,0,0,14238010,14238010,14238010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,3645,  ОТКРЫТИЕ СТРАХОВАНИЕ ЖИЗНИ,Москва,6019010,0,6018669,6018669,495026,0,341,341,333,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,173,  ПАНАЦЕЯ,Ростов-на-Дону,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,915,  ПАРИ,Москва,33082370619,0,0,0,0,0,1687421908,82065753,78578280,0,0,3487473,1605356155,1492482757,9792299,30376,0,684919,1024845058,0,0,351166363,105963742,48855784,0,0,0,0,0,7432843,5390397,0,9129,2033317,135800,11855703,28436887,994551,436165,63581449,0,0,0,31394948711,16485000,31378463711,0
159,3268,  ПАРИТЕТ-СК,Москва,3813081086,19800,0,0,0,0,122125166,15788296,14996596,0,0,791700,106336870,84367365,1472158,0,63057,7332,10119188,0,0,72218144,487486,20909182,6500,6500,0,0,0,623370,389250,0,32120,202000,1100,525300,19735612,17300,652382,407941,0,0,0,3690955920,2170000,3688785920,0
160,2284,  ПЛАТО,Москва,38589760,0,0,0,0,0,38589760,34062122,34056272,0,0,5850,4527638,4165574,5450,0,0,0,518877,0,0,3499645,141602,362064,0,0,0,0,0,6000,6000,0,0,0,0,0,356064,0,0,0,0,0,0,0,0,0,0
161,3568,  ПОВОЛЖСКИЙ СТРАХОВОЙ АЛЬЯНС,Сызрань,30285709,0,0,0,0,0,30285709,21630219,21621263,0,0,8956,8655490,7574767,2674406,0,0,28000,364668,0,0,1372245,3135448,1055135,8000,8000,0,0,0,71358,71358,0,0,0,0,255140,720637,0,0,25588,0,0,0,0,0,0,0
