1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
92,0448,"САО ""ГЕОПОЛИС""",Москва,249732.6705,-,246248.34552,-,-,246248.34552,3484.32498,3484.32498,-,-,-,3484.32498,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
93,0585,"ООО ""СФ ""Адонис""",Пермь,280247.16944,-,-,-,-,-,71566.45591,31127.97426,12471.75736,-,-,18656.2169,40438.48165,40426.04626,29874.72394,-,-,-,-,0.006,-,2487.79146,8063.52486,12.43539,-,-,-,-,-,-,-,-,12.43539,-,-,-,-,-,-,208680.71353,208339.71353,-,341,-,-
94,2042,"ООО ""СК ""Гранта""",Казань,147522.67652,139.54,-,-,-,-,147522.67652,8480.03,7531.00472,-,-,949.02528,139042.64652,137409.16127,125789.60529,-,-,100.805,-,-,-,8596.5086,2922.24238,1633.48525,296.2,296.2,-,-,-,-,-,322.9154,1014.36985,-,-,-,-,-,-,-,-,-,-,-,-
95,3799,"ООО ""БСД""",Москва,104077.33884,-,-,-,-,-,104077.33884,87120.10379,-,-,-,87120.10379,16957.23505,14008.4556,6561.96737,-,-,-,4791.31698,-,-,2119.31953,535.85172,2948.77945,-,-,-,-,-,-,-,-,2948.77945,-,-,-,-,-,-,-,-,-,-,-,-
96,3225,"ООО ""СК ИНТЕРИ""",Москва,390852.9075,-,-,-,-,-,390852.9075,400,400,-,-,-,390452.9075,383530.88123,383530.88123,-,-,-,-,-,-,-,-,6922.02627,6922.02627,6922.02627,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97,4117,"ООО ""Страховая компания ""Кредит Европа Лайф""",Москва,69832.13667,-,2025.91985,2025.91985,-,-,67806.21682,67806.21682,51419.34814,-,-,16386.86868,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98,4008,"ООО ""ОСЖ РЕСО-Гарантия""",Москва,3667404.92757,616.83777,3660535.09673,3660535.09673,-,-,6869.83084,6869.83084,6869.83084,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3605078.57148
99,2733,"АО ""СК ""Резерв""",Хабаровск,5264.42234,-,-,-,-,-,5264.42234,5264.42234,5264.42234,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,3609,"ООО ""ППФ Страхование жизни""",Москва,1047473.23276,-,1021178.78776,881426.08653,-,139752.70123,26294.445,26294.445,24880.13,-,-,1414.315,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9927.26711
101,3268,"ООО СК ""Паритет-СК""",Москва,250590.33274,2478.24668,-,-,-,-,110132.71141,92864.2998,865.95,-,-,91998.3498,17268.41161,17262.11161,5903.41031,-,-,-,453.39793,-,-,10180.07076,725.23261,-,-,-,-,-,-,-,-,-,-,-,-,6.3,-,-,-,140457.62133,140035.62133,-,422,-,-
102,3229,"АО ""Страховая бизнес группа""",Воронеж,524754.9861,693.00655,-,-,-,-,109031.24748,84662.27035,1277.235,-,-,83385.03535,24368.97713,24003.25786,159.6,-,-,-,-,-,-,23831.38486,12.273,365.71927,-,-,-,-,-,-,-,-,365.71927,-,-,-,-,-,-,405191.25597,399075.66897,-,6115.587,-,-
103,1858,"АО СК "" Армеец""",Москва,794769.84342,6781.77578,-,-,-,-,11752.87254,8464.27301,937.40978,-,-,7526.86323,3288.59953,3257.17513,2534.83395,-,-,-,-,-,-,2.96,719.38118,31.4244,-,-,-,-,-,-,-,-,16.737,14.6874,-,-,-,-,-,782114.18705,782114.18705,-,-,-,-
104,0507,"АО ""СК ""Колымская""",Хабаровск,1658088.72995,66.10436,1649212.07421,1628614.78916,-,20597.28505,8876.65574,8876.65574,5737.25665,-,-,3139.39909,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,1216,"АО СК ""Чулпан""",Альметьевск,1193754.12564,-,-,-,-,-,572660.4035,350985.10116,6418.33906,-,-,344566.7621,221675.30234,221516.90644,36665.19941,-,-,-,-,738.95251,-,176886.24147,7226.51305,158.3959,-,-,-,-,-,-,-,-,158.3959,-,-,-,-,-,-,621093.72214,614588.1263,-,6505.59584,-,-
106,0796,"АО ""Страховая группа АВАНГАРД - ГАРАНТ""",Москва,253136.86295,-,-,-,-,-,253136.86295,-,-,-,-,-,253136.86295,253136.86295,1488.82159,-,-,-,-,251648.04136,205893.38011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
107,1284,"АО ""Группа Ренессанс Страхование""",Москва,15891564.63016,153563.32493,-,-,-,-,12218868.90192,4192656.17557,721003.64418,-,-,3471652.53139,8026212.72635,7582031.88418,6869679.80826,-,-,4612.0524,515819.66705,-,-,88728.3313,103192.02517,102586.05604,82807.71013,82807.71013,-,-,-,2030.9465,-,214.2191,17533.18031,-,-,341594.78613,-,-,-,3672695.72824,3661493.20333,-,11202.52491,-,-
108,0206,"АО ""Страховая Компания ""СОЛИДАРНОСТЬ""",Иваново,24159.46407,-,-,-,-,-,24159.46407,22481.58568,1131.7,-,-,21349.88568,1677.87839,1668.98139,471.9,-,-,-,-,-,-,120.45337,1076.62802,8.897,-,-,-,-,-,-,-,-,8.897,-,-,-,-,-,-,-,-,-,-,-,-
109,0518,"АО СК ""БАСК""",Белово,406559.15052,-,-,-,-,-,208456.97709,204972.14461,11395.9307,-,-,193576.21391,3484.83248,3418.32448,3354.24948,-,-,-,-,-,-,-,64.075,66.508,-,-,-,-,-,-,-,-,66.508,-,-,-,-,-,-,198102.17343,198102.17343,-,-,-,-
110,0574,"ООО ""СК Екатеринбург""",Екатеринбург,143524.15161,-,-,-,-,-,143524.15161,9280.32415,771.84,-,-,8508.48415,134243.82746,134206.51646,127612.18729,-,-,-,-,-,-,4022.24364,2572.08553,20,-,-,-,-,-,-,-,-,20,-,-,17.311,-,-,-,-,-,-,-,-,-
111,3064,"АО ""Боровицкое страховое общество""",Москва,280975.1566,336.432,-,-,-,-,53149.86258,5912.57707,218.7,-,-,5693.87707,47237.28551,5509.38112,4932.20996,-,-,-,193.00702,-,-,264.16414,120,41727.90439,1820.07037,1820.07037,-,-,-,-,-,162.7067,253.37435,39491.75297,-,-,-,-,-,227825.29402,227825.29402,-,-,-,-
112,3211,"АО ""ГСК ""Югория""",Ханты-Мансийск,7237769.68791,16733.39587,-,-,-,-,3496345.06066,432768.63053,163745.59038,-,-,269023.04015,3063576.43013,3025594.82503,1847112.05424,-,398737.19452,486.10011,15811.45034,881.777,-,699873.68042,62692.5684,37644.70143,557.58822,557.58822,-,-,1490.84509,74.71,591.1088,803.86789,4840.97213,29285.6093,-,336.90367,-,-,-,3741424.62725,3722479.55839,2155.06886,16790,-,-
113,4079,"ООО ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование Жизни""",Москва,4885463.69644,-,4808424.6049,4808424.6049,1439302.9188,-,78089.34801,78089.34801,77722.58601,-,-,366.762,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3340289.33028
114,2239,"АО ""АльфаСтрахование""",Москва,44161214.16192,430681.08883,-,-,-,-,28638543.60801,11783074.60363,2003194.89926,-,-,9779879.70437,16855469.00438,15662119.36228,9951888.55963,158000.08192,1135336.90841,506715.41817,176039.43293,284348.54291,165083.36525,2702025.29463,747765.12368,563752.26459,279462.33604,162016.10433,117446.23171,-,13998.69778,13512.59804,1100,26574.8455,228759.78723,344,74251.53484,555345.84267,-,-,-,15499182.16711,15459098.92005,22092.32506,17990.922,-,-
115,4189,"ООО ""Кредендо – Ингосстрах Кредитное Страхование""",Москва,57965.45465,-,-,-,-,-,57965.45465,-,-,-,-,-,57965.45465,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57965.45465,-,-,-,-,-,-,-,-,-,-
