,,,,,,,,,,,,от несчастных случаев и болезней,из него,,медицинское страхование,,Страхование имущества,,,,,,,,,,Страхование гражданской ответственности,,,,,,,,,,,,,,,страхование предпринимательских рисков,страхование финансовых рисков,,,,,,,
,,,,,,,,,,,,,"пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",работников налоговых органов,,,Всего,в том числе,,,,,,,,,Всего,в том числе:,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,средств наземного транспорта (кроме средств железнодорожного транспорта),"средств 
железнодорожного транспорта",средств воздушного транспорта,средств водного транспорта,грузов,сельскохозяйственное страхование - всего,из него,прочего имущества юридических лиц,прочего имущества граждан,,Перевозчиков,,,,,Иных владельцев (кроме перевозчиков),,,,,"организаций, эксплуатирующих опасные объекты","за причинение вреда вследствие недостатков товаров, работ, услуг",за причинение вреда третьим лицам,за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"страхование, осуществляемое с государственной поддержкой",,,,Всего,в том числе,,,,Всего,в том числе,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,,,,,,,,,,,,
277,212,  ЦЮРИХ НАДЕЖНОЕ СТРАХОВАНИЕ,Москва,2393774331,196298245,0,0,0,0,2393774331,394055,394055,0,0,0,2393380276,1457732690,552750,0,0,0,459803858,0,0,996704630,671452,363177673,0,0,0,0,0,10290634,10290634,0,0,0,0,137877564,215009475,0,528899685,43570228,0,0,0,0,0,0,0
278,2708,  ЧРЕЗВЫЧАЙНАЯ СТРАХОВАЯ КОМПАНИЯ,Москва,69299382719,0,0,0,0,0,122547832,113476997,50965863,0,0,62511134,9070835,2988393,12243,0,0,8000,31272,0,0,2862925,73953,4471203,9750,9750,0,0,0,336574,12500,0,322074,2000,504880,1000,3618999,0,0,1611239,694060173,694060173,0,68482774714,36025000,68446749714,0
279,552,  ЧУВАШИЯ-МЕД,Чебоксары,122131,0,0,0,0,0,122131,122131,0,0,0,122131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,2136,  ЧУВАШСКАЯ МСК,Новочебоксарск,28506,0,0,0,0,0,28506,28506,0,0,0,28506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,1216,  ЧУЛПАН,Альметьевск,7292532700,0,0,0,0,0,425032616,26021691,24810246,0,0,1211445,399010925,347692278,4071716,0,3230850,350,619938,18195,0,331709933,8041296,51318647,0,0,0,0,0,47597834,124200,0,47473634,0,88438,16988,3615387,0,0,0,0,0,0,6867500084,22060000,6845440084,0
282,4001,  ЧУЛПАН-ЖИЗНЬ,Альметьевск,2497183,0,2125753,2114314,0,11439,371430,371430,371430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,3957,  ЧУЛПАН-МЕД,Альметьевск,57741,0,0,0,0,0,57741,57741,0,0,0,57741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,13,  ШАНС,Липецк,6246455,0,0,0,0,0,6246455,3422769,2598679,0,0,824090,2823686,2819086,105413,0,239085,0,0,0,0,2310611,163977,4600,0,0,0,0,0,4500,4500,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
285,3998,  ЭЙС ЖИЗНЬ СТРАХОВАНИЕ,Москва,2408398,0,0,0,0,0,2408398,2408398,2408398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,3543,  ЭКИП,Москва,4845668,0,0,0,0,0,4845668,304895,207558,0,0,97337,4540773,3796122,1705750,0,0,2153,0,0,0,1486075,602144,547673,0,0,0,0,0,351764,340500,0,0,11264,0,20919,174990,0,0,196978,0,0,0,0,0,0,0
