"Сведения о страховых суммах по договорам страхования, заключенным в отчетном периоде, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255
0013,"Общество с ограниченной ответственностью ""Страховая компания ""РЕСО-Шанс""",19461100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19461100,0,0,0,0,0,0,0,19461100,0,19461100,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0141,"Страховое Акционерное Общество ""Медэкспресс""",184023714.12099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180482866.236,8368037.087,0,0,0,8280758,0,87279.087,172114829.149,9804765.839,160344756.81,1965306.5,3540847.8849899997,3409708.7979900003,828085.262,828085.262,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,1720275.4942700001,0,0,1720275.4942700001,861348.04172,0,0,861348.04172,131139.087,66000,66000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65139.08700000001,0,0,0,0,65139.08700000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0191,"Акционерное общество ""Тинькофф Страхование""",5443384893.73694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4421694269.07962,4421694269.07962,1077168612.1295,0,0,0,0,3344525656.95012,0,0,0,0,1021690624.65732,860734944.96613,472661327.57402,472661327.57402,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,388073617.39211,388073617.39211,0,0,55826605.984629996,25547360,25547360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30279245.98463,0,0,0,0,30279245.98463,0,0,0,0,0,0,0,0,0,0,0,105129073.70656,72266954.38216,0,32862119.324400004,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",161750001.25838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62157838.61994,10346003.16092,0,0,0,8193820,0,2152183.1609199997,51811835.45902,4105370.5006999997,2043981.223,45662483.73532,99592162.63844,29261525.1073,508223.29765,396310.30916999996,111912.98848,0,2640303.5557500003,0,0,0,1317976.83819,0,,,,,,0,0,0,0,0,20266275.77499,0,51001.93502,20215273.83997,4528745.64072,983409.215,69292.05,3476044.37572,70330637.53114,1000,1000,0,0,0,67415079,0,0,0,2800,0,0,2800,125642.9841,0,125642.9841,2699615.54704,2117848.83,0,11000,5000,565766.71704,86500,0,0,0,0,0,0,0,86500,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",2566573158.70126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195722.071,195722.071,0,0,0,0,0,195722.071,0,0,0,0,2566377436.63026,1871954174.76667,0,0,0,0,0,0,0,0,594350759.8156201,0,,,,,,0,0,0,0,0,1277603414.95105,0,116082372.22704001,1161521042.72401,0,0,0,0,270983810.85021996,23200000,23200000,0,0,0,0,0,0,0,0,0,0,0,94669944.84683,94669944.84683,0,153113866.00338998,3247977.175,0,0,0,149865888.82838997,0,0,0,0,0,0,0,0,0,0,397563159.34204,25876291.67133,0,0,25876291.67133,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",3551731509744.6743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3542198723158.7466,3540984577275.8037,0,0,4406000,0,0,3540980171275.8037,1214145882.94311,1214145882.94311,0,0,1731095105.9277,1249537088.11304,3911037.9294999996,3911037.9294999996,0,9315170.44551,0,0,0,0,359833953.01397,0,,,,,,0,0,0,0,0,846921653.6624601,100000,28074764.11182,818746889.55064,29555273.0616,2117139.36418,0,27438133.697419997,118468838.35104,30951302.85,30951302.85,0,0,0,1855423.4719999998,0,0,0,239223.91705000002,0,0,239223.91705000002,25503884.918,0,25503884.918,59919003.19399,417000,0,0,0,59502003.19399,0,0,0,0,0,0,0,0,0,0,86353816.15722,276735363.3064,0,0,276735363.3064,,,,,,,,,0,6215000,6215000,0,0,0,7795476480,0,0,0,0,0,0,7795476480,0,0,0,0,0,0,0,0,0,0,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",75049553.00626999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11573545.47387,145589.13167,0,0,0,115096.85,0,30492.28167,11427956.3422,0,0,11427956.3422,63476007.5324,6736679.679699999,7787.00061,7787.00061,0,0,6260231.80874,0,0,0,188544.76133,0,,,,,,0,0,0,0,0,162068.08635,0,0,162068.08635,118048.02266999999,0,0,118048.02266999999,55829907.82,0,0,0,0,0,55671937.830000006,0,0,0,0,0,0,0,0,0,0,6600,0,0,0,0,6600,151369.99,0,0,0,0,0,0,0,11000,140369.99,0,909420.0327,892051.6423000001,0,17368.3904,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",461379842.2056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158596127.09056002,107555611.90623,37246807.305,367750,0,0,0,69941054.60123001,51040515.184329994,0,13877368.09433,37163147.089999996,302783715.11504,210274114.52594998,69548857.50740999,69548857.50740999,0,0,11350,131851.33422999998,0,131851.33422999998,25029809.43569,5039469.1373,4916849.3883,4891929.3883,0,24920,0,122619.749,122619.749,0,0,0,95696811.04289,706165.24,21672907.72886,73317738.07403,14815966.068429999,8413594.49925,384403.7264,6017967.84278,91510268.44552001,3930910,3930910,0,0,0,53035,74682225.696,0,74682225.696,13000,0,0,13000,177833.44733999998,0,177833.44733999998,12565764.30218,5505148.53468,0,1567500,0,5493115.7675,87500,0,0,0,0,0,0,0,87500,0,0,999332.14357,0,0,999332.14357,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",225252199.58826002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31860654.83028,31860654.83028,0,0,0,0,0,31860654.83028,0,0,0,0,193391544.75798002,91739703.56366001,0,0,0,0,0,24477315.459599998,184572.696,24292742.7636,10652889.72774,0,,,,,,0,0,0,0,0,45159222.69832,0,0,45159222.69832,11450275.678,0,0,11450275.678,101015473.26713,0,0,0,0,0,0,94045407.74712999,144729.6,93900678.14713001,0,0,0,0,0,0,0,6970065.5200000005,0,0,0,0,6970065.5200000005,0,0,0,0,0,0,0,0,0,0,0,636367.9271900001,0,636367.9271900001,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0448,"Страховое Акционерное Общество ""Геополис""",52121.427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41139.552,41139.552,0,0,0,0,41139.552,0,0,0,0,0,0,10981.875,0,0,0,0,0,0,0,10981.875,0,0,10981.875,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",82585574.50628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13311945.38287,6095345.92662,0,0,0,0,0,6095345.92662,7216599.45625,0,0,7216599.45625,64588629.12341,60616024.580409996,5100582.241660001,5100582.241660001,0,0,0,0,0,0,13393456.69412,0,,,,,,0,0,0,0,0,41757266.04163,0,0,41757266.04163,364719.603,337278.75999999995,27284.853,155.98999999999998,3897005,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3895005,0,0,13000,0,3882005,0,0,0,0,0,0,0,0,0,0,0,75599.54299999999,0,0,75599.54299999999,,,,,,,,,0,4685000,4240000,285000,20000,140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",53647233.830400005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17608360.96613,12386562.56402,237089.30636,0,0,0,0,12149473.25766,5221798.40211,0,315155.62991,4906642.7722,36038872.86427,35760613.86427,10590571.5582,10590571.5582,0,0,0,7406,0,7406,2975427.9961900003,31279.764,,,,,,31279.764,0,0,31279.764,0,6382611.36371,0,0,6382611.36371,15773317.18217,6671683.10489,4194389.28708,4907244.790200001,235359,14500,14500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220859,0,0,0,0,220859,0,0,0,0,0,0,0,0,0,0,0,42900,0,0,42900,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0621,"Страховое акционерное общество ""ВСК""",1727261697182.5198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10903504618.450129,6697155122.247359,2965902631.30127,26335967.227500003,1560000,1983861405.04719,0,1719495118.6714,4206349496.2027698,0,2889777299.66604,1316572196.53673,15483784589.06976,13774824473.014349,1059885152.94781,1059885152.94781,0,188726976.74102,188007434.13534,107698078.59935,107698078.59935,0,4325498486.023801,37125325.560949996,23465007.4995,9600360.49255,0,13864647.00695,0,13660318.061449999,1481916.52746,0,11376979.98882,801421.5451699999,5758663295.060499,788123538.85113,1874736111.51735,3095803644.69202,2109219723.94558,1919333432.96582,189886290.97976,0,1410645083.44924,72588182.48706,72588182.48706,0,0,0,53584571.59781,305501262.8491,305501262.8491,0,81466898.65581,781050.0009999999,0,80685848.65481001,36357789.15376,36357789.15376,0,860992581.6927,181074960.01038,8693150,22730750.005000003,11172350.336,637321371.34132,153797.013,0,0,0,0,0,0,0,9500,144297.013,92693856.83294,205621175.77323002,0,0,205621175.77323002,,,,,,,,,0,487175000,364590000,31965000,9380000,81240000,1700387232975,27727861275,331887375,27395973900,402063750,142724025,259339725,571094550,5928029550,5921361225,6668325,1414957855500,45181714950,105534584100,121497114375,1142744442075,138029609250,112770719100,0
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",126648853015.49739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173605280.57255,89501287.04455,0,0,0,0,0,89501287.04455,84103993.52800001,50289805.428,0,33814188.1,381450174.92484,368364471.62697,83202516.77863,83202516.77863,0,2941723.54495,0,126061.36050000001,0,126061.36050000001,170587692.79772,0,,,,,,0,0,0,0,0,55430817.96638,0,0,55430817.96638,56075659.17879,30822183.40799,0,25253475.7708,3856954.11837,1308600,1308600,0,0,0,0,0,0,0,0,0,0,0,84050,0,84050,2015754.11837,0,0,0,0,2015754.11837,448550,0,0,0,0,0,0,0,448550,0,0,9228749.1795,0,0,9228749.1795,,,,,,,,,0,30755000,30755000,0,0,0,126063042560,0,0,0,0,0,0,0,0,0,0,126063042560,0,0,126063042560,0,0,0,0
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",273360298.51544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95039795.28153,29140145.53193,20402.574,0,0,149858.4,0,28969884.55793,65899649.74959999,32362599.7496,30369500,3167550,178320503.23391002,162398942.85562,0,0,0,0,0,0,0,0,100678594.97555001,0,,,,,,0,0,0,0,0,23119137.865000002,0,0,23119137.865000002,38601210.01507,494719.39129,1373190.2552,36733300.36858,15131366.031469999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14481366.031469999,0,0,0,0,14481366.031469999,650000,0,0,0,0,0,0,0,0,650000,0,790194.34682,120,0,790074.34682,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0796,"Акционерное общество ""Страховая группа АВАНГАРД - ГАРАНТ""",22048081.667779997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7470,7470,0,0,0,7470,0,0,0,0,0,0,22040611.667779997,22040611.667779997,286566.456,286566.456,0,0,0,0,0,0,0,21664446.685,21664446.685,21513193.033,0,151253.652,0,0,0,0,0,0,89598.52678,0,0,89598.52678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",102352467747.9325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250344771.04071,226370573.71296,0,0,0,0,0,226370573.71296,23974197.32775,0,21937897.32775,2036300,3952122128.89179,3490199659.05063,23692312.8878,23692312.8878,0,803566.01534,223162.6,1667119.8966899998,0,1667119.8966899998,2606200887.84403,0,,,,,,0,0,0,0,0,593972774.62554,260423205.97177,44754921.41819,288794647.23558,263639835.18122998,23046643.48169,3427439.95914,237165751.74040002,260654641.29237002,6459329.578369999,6459329.578369999,0,0,0,2184206.3281,3247026.2695999998,0,3247026.2695999998,3397513.8586,3397513.8586,0,0,4284665.07735,220230.84535000002,4064434.232,240992350.18035,4476554.47758,0,1351550.0010000002,42000,235122245.70177,89550,0,0,0,0,0,0,0,89550,0,994603.82994,200273224.71885,175899185.96092,0,24374038.75793,,,,,,,,,0,21410000,10960000,120000,290000,10040000,98128590848,0,0,0,10444800,0,10444800,8052736,882282496,822986752,59295744,97227810816,1365329920,16402108416,23948636160,55511736320,0,0,0
