"Сведения о страховых суммах по договорам страхования, заключенным в отчетном периоде (с учетом изменений), в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255
0141,"Страховое Акционерное Общество ""Медэкспресс""",66945267.8519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,65034109.307,2713515,0,0,0,2682930,0,30585,62320594.307,5667812.652,55926773.867,726007.788,1911158.5449,1838758.5449,241281.88,241281.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260371.58248,0,0,1260371.58248,337105.08242,0,0,337105.08242,72400,32000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40400,0,0,0,0,40400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0191,"Акционерное общество ""Тинькофф Страхование""",8245955663.331309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,6245352712.3199,6245352712.3199,1275041011.952,0,0,0,0,4970311700.3679,0,0,0,0,2000602951.01141,1406963294.66073,391055766.8805,391055766.8805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015907527.78023,122802762.07444,0,893104765.70579,38415432.84603,21187230,21187230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17228202.84603,0,0,0,0,17228202.84603,0,0,0,0,0,0,0,0,0,0,0,555224223.50465,37730767.68368,0,517493455.82097,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",78503952.60758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,55295623.33764,1767339.88345,0,0,0,790114.999,0,977224.88445,53528283.45419,8396179.53769,1951692.282,43180411.6345,23208329.26994,21427928.61561,755476.74474,364146.28141,391330.46333,0,5016089.33713,0,0,0,942319.06462,0,0,0,0,0,0,0,0,0,0,0,11698637.21908,0,0,11698637.21908,3015406.25004,452367.115,52152.623,2510886.51204,1780400.65433,98000,98000,0,0,0,1579,0,0,0,0,0,0,0,101032.68163,0,101032.68163,1544288.9727,1277805,0,7500,5000,253983.9727,35500,0,0,0,0,0,0,0,35500,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",163573651.14314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163573651.14314,135747669.49478,0,0,0,0,0,0,0,0,100039263.48321,0,0,0,0,0,0,0,0,0,0,0,35708406.01157,0,125114.14623,35583291.86534,0,0,0,0,14163110.009,0,0,0,0,0,0,0,0,0,0,0,0,0,5296449.3795,5296449.3795,0,8866660.6295,0,0,0,0,8866660.6295,0,0,0,0,0,0,0,0,0,0,12061230.37236,1601641.267,0,0,1601641.267,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0290,"Акционерное общество ""Зетта Страхование""",93337.9809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,5752.68269,1385.23715,0,0,0,0,0,1385.23715,4367.44554,4367.44554,0,0,84679.60616,50665.57929,0,0,0,0,0,0,0,0,16321.18587,0,0,0,0,0,0,0,0,0,0,0,33628.75877,0,1317.81649,32310.94228,715.63465,0,0,715.63465,31331.9096,0,0,0,0,0,0,0,0,0,0,0,0,0,8206.47247,0,8206.47247,23125.43713,0,0,0,0,23125.43713,0,0,0,0,0,0,0,0,0,0,1378.6883,1303.42897,0,0,1303.42897,,,,,,,,,0,1963.685,1963.685,0,0,0,942.00705,0,0,0,0,0,0,942.00705,0,0,0,0,0,0,0,0,0,0,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",5393433.2668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,3566956.1724,5200,0,0,0,0,0,5200,3561756.1724,0,0,3561756.1724,1826477.0944,597304.33914,0,0,0,0,597304.33914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058363.81626,0,0,0,0,0,950463.81626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107900,0,0,0,0,0,0,0,500,107400,0,170808.939,170808.939,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",1138206104.7962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,983995606.52311,901810255.55765,835411926.381,6800,0,0,0,66391529.17665,82185350.96546,0,14992323.38546,67193027.58,154210498.27309,139299954.80385,42196310.73438,42196310.73438,0,538421.64,0,190858.2,0,190858.2,35738456.27831,2952089.69926,2949087.32426,2899684.59596,0,49402.7283,0,3002.375,3002.375,0,0,0,46632547.59917,1021476.95191,8450507.06335,37160563.58391,11051270.65273,4121876.80261,203191.4734,6726202.37672,11213286.85461,340600,340600,0,0,0,39779.7,1597492.9,0,1597492.9,19000,0,0,19000,35951.05514,0,35951.05514,9071463.19947,3132014.60265,0,497400,0,5442048.59682,109000,0,0,0,0,0,0,0,109000,0,0,3697256.61463,3496767.8529,0,200488.76173,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",177587817.85112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,54525672.19785,54525672.19785,0,0,0,0,0,54525672.19785,0,0,0,0,123062145.65327,79977913.2608,0,0,0,0,0,3676112.842,3676112.842,0,5975440.21828,0,0,0,0,0,0,0,0,0,0,0,42127556.85791,0,0,42127556.85791,28198803.34261,0,0,28198803.34261,42351332.84236,0,0,0,0,0,0,39684318.84236,0,39684318.84236,0,0,0,0,507500,0,507500,2159514,0,0,0,0,2159514,0,0,0,0,0,0,0,0,0,0,0,732899.55011,0,732899.55011,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0448,"Страховое Акционерное Общество ""Геополис""",89053.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,78874.248,78874.248,,0,0,0,78874.248,0,,0,0,0,0,10179.507,0,0,0,0,0,0,0,10179.507,0,0,10179.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",44642275.67764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,9613943.88046,1852400.05862,0,0,0,0,0,1852400.05862,7761543.82184,0,0,7761543.82184,29783331.79718,28963227.64618,3050227.31999,3050227.31999,0,0,0,0,0,0,7151398.82655,0,0,0,0,0,0,0,0,0,0,0,18525905.74464,0,0,18525905.74464,235695.755,214788.555,20886.2,21,766950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766950,0,0,10000,0,756950,0,0,0,0,0,0,0,0,0,0,0,53154.151,0,0,53154.151,,,,,,,,,0,5245000,4840000,225000,10000,170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",34710855.18582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,16982645.86473,6668387.38587,184806.3905,0,0,0,0,6483580.99537,10314258.47886,0,525975.09956,9788283.3793,17728209.32109,17619866.97109,5548460.103,5548460.103,0,0,0,7406,0,7406,1204022.08826,6205,0,0,0,0,0,6205,0,0,6205,0,2179799.44624,0,0,2179799.44624,8673974.33359,3244314.33152,3304949.82516,2124710.17691,84142.35,9600,9600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74542.35,0,0,0,0,74542.35,0,0,0,0,0,0,0,0,0,0,0,24200,0,0,24200,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0621,"Страховое акционерное общество ""ВСК""",1073119601882.0435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,6694711137.9868,3311012832.67119,1776163320.23443,6330519.575,588000,642309944.78421,0,885621048.07755,3383698305.31561,0,2122435939.35376,1261262365.96185,10101416294.0566,6924068174.85505,603973996.4861,603973996.4861,0,86889694.16805,113095924.38559,90972399.47417,90972399.47417,0,1869248319.69606,9803821.9749,8164172.64945,4959267.02264,0,3204905.62681,0,1639649.32545,295395.09106,0,1344254.23439,0,2980215077.15315,363673469.92372,844770855.35287,1771770751.87656,1169868941.51703,1076557823.04565,91731944.43296,1579174.03842,2979838346.61974,30777960.69402,30777960.69402,0,0,0,49659403.5777,1280739772.50131,1280739772.50131,0,1357866271.81266,1079400,5000,1356781871.81266,15606595.68714,15606595.68714,0,244807332.21041,43213553.12505,2700450,12148700.005,1546426.995,185198202.08536,381010.1365,0,0,0,0,0,0,0,6000,375010.1365,78407763.32284,119102009.25895,0,0,119102009.25895,,,,,,,,,0,416510000,321292500,17127500,7160000,70930000,1055906964450,31429719225,579925575,30849793650,235221975,64941750,170280225,415282950,4513826250,4508285850,5540400,802439067150,29414617425,84605129775,64109833425,624309486525,95843395800,121030451100,0
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",307074200007.28094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,79269502.37143,48628681.94643,0,0,0,0,0,48628681.94643,30640820.425,9138897.925,0,21501922.5,210787276.90954,206148018.69305,39932183.44783,39932183.44783,0,1161182.5081,0,7839.182,0,7839.182,104914265.45614,0,0,0,0,0,0,0,0,0,0,0,32502708.53026,0,0,32502708.53026,27629839.56872,15919660.65925,0,11710178.90947,1818049.10886,563600,563600,0,0,0,0,0,0,0,0,0,0,0,8350,0,8350,992049.10886,0,0,0,0,992049.10886,254050,0,0,0,0,0,0,0,254050,0,0,2821209.10763,0,0,2821209.10763,,,,,,,,,0,13637500,13637500,0,0,0,306770505728,0,0,0,0,0,0,0,0,0,0,306770505728,0,0,306770505728,0,0,0,0
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",128353260.06386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,32958866.47708,18263391.47708,0,0,0,398452,0,17864939.47708,14695475,3388125,10924400,382950,95394393.58678,90932856.3715,0,0,0,0,0,0,0,0,66690463.13679,0,0,0,0,0,0,0,0,0,0,0,8288020.97134,3100,0,8284920.97134,15954372.26337,335910.28187,174517.75602,15443944.22548,4356032.649,0,0,0,0,0,0,0,0,0,0,0,0,0,1157500,0,1157500,3198532.649,0,0,0,0,3198532.649,0,0,0,0,0,0,0,0,0,0,0,105504.56628,0,0,105504.56628,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0796,"Акционерное общество ""Страховая группа АВАНГАРД - ГАРАНТ""",17599938.52739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,8510,8510,0,0,0,8510,0,0,0,0,0,0,17591428.52739,17591428.52739,138736.8,138736.8,0,0,0,0,0,0,0,17286672.082,17286672.082,17170066.375,0,116605.707,0,0,0,0,0,0,166019.64539,0,0,166019.64539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",75804407848.42584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,118509416.31116,105824796.92116,0,0,0,0,0,105824796.92116,12684619.39,0,11214069.39,1470550,2137040484.11469,1933945133.424,13340116.17001,13340116.17001,0,227925.663,133443.96,884357.65285,0,884357.65285,1521692069.09769,0,0,0,0,0,0,0,0,0,0,0,267504554.85744,128063233.94668,21490044.86321,117951276.04755,130162666.02301,1676889.25204,2998086.99203,125487689.77894,122638678.99383,3867472.90995,3867472.90995,0,0,0,84152.2,2928538.51268,0,2928538.51268,1148526.13609,1148526.13609,0,0,2106273.786,431323.786,1674950,112445715.44911,3332679.11068,0,98600,7300,109007136.33843,58000,0,0,0,0,0,0,0,58000,0,319372.60624,80137299.09062,68608435.0965,0,11528863.99412,,,,,,,,,0,13777500,6657500,140000,210000,6770000,73535080448,0,0,0,10061824,0,10061824,32745472,761774080,654102528,107671552,72730499072,591843328,3629107200,24512532480,43997016064,0,0,0
0928,"Страховое публичное акционерное общество ""Ингосстрах""",5596727670693.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,6615985299.16967,755474253.43451,12198065.8626,6522285.7647,896000,195900,0,735662001.80721,5860511045.73516,3345054627.90655,963276551.751,1552179866.07761,43893466808.3366,13725356281.3596,959658667.43469,959658667.43469,0,122304926.67922,50089263.24624,721678360.78307,696451876.76312,25226484.01995,3892699301.30017,10467978.01047,8322482.51094,6460817.66281,0,1861664.84813,0,2145495.49953,0,0,2145495.49953,0,6610059307.48584,0,344262108.77227,6265797198.71357,1358398476.41995,687780170.22528,77956953.3654,592661352.82927,29074278753.7207,145598355.72896,145598355.72896,0,0,5000,377514156.76,28030272122.29,27958716890.74,71555231.55,87337181.08844,6983967.077,5620,80347594.01144,84677024.91185,2354325.2,82322699.71185,348577297.46132,41880138.43888,12430550,16086203.8,663749.24,277516655.98244,297615.48014,0,20000,0,0,0,0,0,257500,20115.48014,8815035.91175,1085016737.34452,7454161.70096,0,1077562575.64356,,,,,,,,,0,472490000,346637500,16252500,10580000,99020000,5545745728586,82089984600,1160053650,80929930950,42010650,10331550,31679100,343203075,8282515275,8215009875,67505400,3636236283975,128208916125,461074947300,132251454000,2914700966550,870310178100,450723983625,497717569286
