1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
78,3616,  ИНВЕСТ-ПОЛИС,Королев,57941,0,0,0,0,0,57941,0,0,0,0,0,57941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57941,0,0,0,0,0,0,0,0,0
79,2401,  ИНВЕСТСТРАХ,Москва,71244,0,0,0,0,0,71244,19779,773,0,0,19006,51465,1060,621,0,0,0,0,0,0,201,238,50405,0,0,0,0,0,0,0,216,0,50189,0,0,0,0,0,0,0,0,0,0
80,425,  ИНГВАР,Москва,9350,0,0,0,0,0,9350,0,0,0,0,0,9350,9350,0,0,0,0,9350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,928,  ИНГОССТРАХ,Москва,31563919,920584,0,0,0,0,18510228,4582627,63121,0,0,4519506,13927601,12743093,9536425,22370,42159,472078,158376,2251,0,2096770,412664,1134360,496327,496327,0,4485,204676,317732,9325,31903,69276,636,24332,25816,0,0,0,12888104,12738906,18630,130568,0
82,3823,  ИНГОССТРАХ-ЖИЗНЬ,Москва,535583,0,318738,217238,0,101500,216845,216845,216845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,3837,  ИНГОССТРАХ-М,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2169,  ИНЕРТЕК,Санкт-Петербург,7507,0,0,0,0,0,7507,15,15,0,0,0,7492,1305,1300,0,0,0,0,0,0,5,0,6187,0,0,0,0,0,0,0,0,6187,0,0,0,0,0,0,0,0,0,0,0
85,2031,  ИНКО-МЕД,Воронеж,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,870,  ИНТАЧ СТРАХОВАНИЕ,Москва,659926,8164,0,0,0,0,458175,16610,9969,0,0,6641,441565,422074,420632,0,0,0,0,0,0,0,1442,18694,18223,18223,0,0,0,0,0,0,471,0,0,797,0,0,0,202146,202146,0,0,0
87,902,  КАЙРОС,Петропавловск-Камчатский,171,0,0,0,0,0,171,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,3175,  КАПИТАЛ ПЕРЕСТРАХОВАНИЕ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1298,  КАПИТАЛ СТРАХОВАНИЕ,Когалым,2087569,34442,0,0,0,0,2004556,1066301,39678,0,0,1026623,938255,883696,151585,0,0,580,4712,0,0,724182,2637,54504,325,325,0,0,0,0,54000,0,179,0,0,55,0,0,0,83013,76162,241,6610,0
90,3645,  КАПИТАЛ-ЛАЙФ,Москва,102144,0,102144,101959,14111,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
