Сведения о количестве заявленных страховых случаев,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
133,141,  МЕДЭКСПРЕСС,Санкт-Петербург,37563,0,0,0,0,0,37295,37120,83,0,0,37037,175,174,170,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,268,268,0,0,0
134,3594,  МЕЖДУНАРОДНАЯ СТРАХОВАЯ ГРУППА,Москва,1910,5,0,0,0,0,1910,1904,1255,0,0,649,6,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
135,1461,  МЕСКО,Москва,1289,0,0,0,0,0,1289,209,6,0,0,203,1080,387,0,0,0,0,0,0,0,1,386,45,0,0,0,0,0,0,0,0,0,0,0,0,8,37,0,648,0,0,0,0,0,0,0,0
136,3256,  МЕТЛАЙФ,Москва,419531,0,5934,5934,5102,0,413597,413597,3623,0,0,409974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,166,  МИЛОСЕРДИЕ И БЛАГОПОЛУЧИЕ,Красногорск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,2950,  МОСКВА-ВОЛГА,Красногорск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,2290,  МОСКОВИЯ,Москва,7889,84,0,0,0,0,377,235,159,0,0,76,142,133,123,0,0,0,7,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,7512,7512,0,0,0
140,3128,  МСК АЙАЙСИ,Москва,13,0,0,0,0,0,13,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,413,  МСК СТРАЖ,Рязань,38915,1,0,0,0,0,26485,25348,420,0,0,24928,1137,1125,1080,0,0,0,0,1,0,12,32,12,0,0,0,0,0,9,9,0,0,0,0,0,3,0,0,0,0,0,0,12430,12430,0,0,0
142,2326,  МСК УРАЛСИБ,Климовск,361,0,0,0,0,0,361,361,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,3624,  МСК-МЕДИЦИНА,Краснодар,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,1447,  НАДЕЖДА,Красноярск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,2182,  НАДЕЖДА,Красноярск,25943,0,0,0,0,0,16693,14765,519,0,0,14246,1928,1699,1644,0,0,0,0,0,0,3,52,27,0,0,0,0,0,12,12,0,0,0,0,1,14,0,0,202,0,0,0,9250,9250,0,0,0
146,4192,  НАРОДНЫЕ КАССЫ,Москва,53,0,0,0,0,0,53,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0
147,1535,  НАСКО ЖИЗНЬ,Казань,772,0,663,580,0,83,109,109,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,3116,  НАСКО ТАТАРСТАН,Казань,26130,0,0,0,0,0,13483,11262,1628,0,0,9634,2221,2125,1315,0,0,1,1,142,0,138,528,73,1,0,0,0,1,0,0,0,0,0,0,34,38,0,0,23,2,2,0,12645,12639,0,6,0
149,1826,  НАЦИОНАЛЬНАЯ СТРАХОВАЯ ГРУППА,Долгопрудный,139,0,1,1,0,0,32,3,1,0,0,2,29,28,25,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,106,106,0,0,0
150,3493,  НАЦИОНАЛЬНЫЕ СТРАХОВЫЕ ТРАДИЦИИ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3919,  НАША ГАРАНТИЯ,Москва,980,0,0,0,0,0,980,115,10,0,0,105,865,861,860,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
