1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
208,1182,  ТИТ,Москва,28775,0,0,0,0,0,28775,22129,21871,0,0,258,6646,1395,589,0,47,0,441,0,0,137,181,505,166,166,0,0,143,0,0,95,15,86,0,4746,0,0,0,0,0,0,0,0
209,1688,  ТРАНСНАЦИОНАЛЬНАЯ СК,Королев,1811,0,0,0,0,0,1811,24,20,0,0,4,1787,933,794,0,0,0,23,0,0,61,55,854,714,714,0,0,0,0,0,54,86,0,0,0,0,0,0,0,0,0,0,0
210,1623,  ТЮМЕНЬ-ПОЛИС,Тюмень,39173,0,0,0,0,0,39173,18356,18356,0,0,0,20817,13622,482,0,0,0,0,0,0,151,12989,24,0,0,0,0,0,0,0,0,24,0,0,7171,0,0,0,0,0,0,0,0
211,3313,  УГМК-МЕДИЦИНА,Екатеринбург,38527,34375,0,0,0,0,38527,38527,0,0,0,38527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,1457,  УРАЛ-РЕЦЕПТ М,Екатеринбург,218,0,0,0,0,0,218,218,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,983,  УРАЛСИБ,Москва,384313,186,0,0,0,0,383994,277974,168005,0,0,109969,106020,63659,115,36,1,0,2846,0,0,2967,57694,40865,4,4,0,0,0,0,2,8,40804,47,0,1496,0,0,0,319,0,244,75,0
214,3987,  УРАЛСИБ ЖИЗНЬ,Москва,37824,0,37428,37417,26905,11,396,396,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,667,  УРАЛСИБ СТРАХОВАНИЕ,Москва,185799,3179,0,0,0,0,185799,119821,102370,0,0,17451,65978,39211,136,22,0,0,3396,0,0,5590,30067,26514,2,2,0,0,0,0,1,8,26181,322,0,253,0,0,0,0,0,0,0,0
216,319,  ХОСКА,Хабаровск,301392,9400,0,0,0,0,221230,186554,147793,0,0,38761,34676,19423,3958,0,3,148,2820,0,0,1009,11485,9904,33,33,0,0,0,39,0,5,9655,172,0,5349,0,0,0,80162,80162,0,0,0
217,3507,  ХОУМ КРЕДИТ СТРАХОВАНИЕ,Москва,391036,0,0,0,0,0,391036,149401,149401,0,0,0,241635,166818,0,0,0,0,0,0,0,0,166818,74639,0,0,0,0,0,0,0,0,74639,0,0,178,0,0,0,0,0,0,0,0
