1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
123,3825,"ООО ""СК СОГАЗ-ЖИЗНЬ""",Москва,30815109.97373,1575,13038539.1291,13038135.4951,0,403.634,17776570.84463,17776570.84463,17578849.14463,0,0,197721.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,3998,"ООО ""СК Чабб Жизнь""",Москва,95053.416,0,0,0,0,0,95053.416,95053.416,95053.416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,3969,"ООО ""СК Чабб""",Москва,365743743.85426,75373065.90608,0,0,0,0,365743743.85426,145031012.48825,145031012.48825,5820000,0,0,220712731.36601,141931414.96693,0,0,0,0,29015542.98406,0,0,111174146.78203,1741725.20084,46752001.73418,0,0,0,0,0,0,0,7112093.991,39639907.74318,0,31958762.9509,70551.714,0,0,0,0,0,0,0
126,2444,"ООО ""СМО ""СИМАЗ-МЕД""",Новосибирск,32441.213,0,0,0,0,0,32441.213,32441.213,0,0,0,32441.213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,3528,"ООО ""СМО ""Спасение""",Казань,5535140.109,0,0,0,0,0,5535140.109,5535140.109,0,0,0,5535140.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,3941,"ООО ""СМП-Страхование""",Москва,109554376.64907,100,0,0,0,0,109554376.64907,47525526.49209,11297147.81759,0,0,36228378.6745,62028850.15698,59729715.96256,923155.80118,1099011.81972,0,0,41215564.33099,0,0,13810635.2416,2681348.76907,1803791.44877,28000,28000,0,0,0,0,0,0,1775791.44877,0,0,495342.74565,0,0,0,0,0,0,0
129,4079,"ООО ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование Жизни""",Москва,84451511.20383,0,18463450.61144,18463450.61144,18463450.61144,0,65988060.59239,65988060.59239,19270659.23239,0,0,46717401.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1580,"ООО ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование""",Москва,29405685.39634,0,0,0,0,0,29405685.39634,1403372.86789,1403372.86789,0,0,0,28002312.52845,22013713.94062,421.1,0,0,0,0,0,0,0,22013292.84062,262943.9238,0,0,0,0,0,0,0,0,262943.9238,0,0,5725654.66403,0,0,0,0,0,0,0
131,3193,"ООО ""СТРАХОВАЯ КОМПАНИЯ ""АРСЕНАЛЪ""",Москва,195538440.0466,0,0,0,0,0,195538440.0466,29022788.87615,5993643.60115,0,0,23029145.275,166515651.17045,23383895.3451,35984,0,0,0,10338728.01301,0,0,11252614.82539,1756568.5067,89933571.53669,0,0,0,0,6150,10744487.28,0,0,62430364.48052,16752569.77617,0,53198184.28866,0,0,0,0,0,0,0
132,3561,"ООО ""Страховая компания ""ВИТАЛ-Полис""",Москва,50962,0,0,0,0,0,50962,24562,15000,0,0,9562,26400,25400,5900,0,0,0,0,0,0,14000,5500,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
