1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
154,3511,"ООО СК ""Согласие-Вита""",Москва,2906612.93375,2841815.43399,2841815.43399,-,-,64797.49976,64797.49976,64797.49976,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
155,1623,"ООО СК ""Тюмень-Полис""",Тюмень,98231.09803,-,-,-,-,98231.09803,52229.35094,52229.35094,-,-,-,46001.74709,31794.72843,8314.01563,-,-,-,-,-,-,568.31984,22912.39296,10.85594,-,-,-,-,-,-,10.85594,-,-,14196.16272,-,-,-,-,-,-,-,-
156,0667,"ООО СК ""УРАЛСИБ СТРАХОВАНИЕ""",Москва,1951855.0422,-,-,-,-,1951855.0422,1713158.57244,1560771.98028,-,-,152386.59216,238696.46976,180790.07743,3958.40911,-,-,-,15575.63394,-,-,30059.19763,131196.83675,44692.3776,1.45,-,-,-,86.91804,6493.39566,29419.50279,8691.11111,-,13214.01473,-,-,-,-,-,-,-,-
157,4001,"ООО СК ""Чулпан-Жизнь""",Альметьевск,376755,375507,373464,-,2043,1248,1248,1248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
158,3543,"ООО СК ""Экип""",Москва,122083.03182,-,-,-,-,122083.03182,18788.00184,3802.54459,-,-,14985.45725,103295.02998,99486.58577,91839.06384,-,-,138,152.73205,-,-,4302.36587,3054.42401,3808.44421,493.33661,-,-,87.02532,-,405.75,1277.32872,1545.00356,-,-,-,-,-,-,-,-,-,-
159,0758,"ООО СМК ""АСТРА-МЕТАЛЛ""",Магнитогорск,113903.47018,-,-,-,-,113903.47018,113903.47018,-,-,-,113903.47018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
160,3313,"ООО СМК ""УГМК-Медицина""",Екатеринбург,89302.77967,-,-,-,-,89302.77967,89302.77967,-,-,-,89302.77967,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
161,1457,"ООО СМК ""Урал-Рецепт М""",Екатеринбург,250.4,-,-,-,-,250.4,250.4,-,-,-,250.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
163,3245,"ООО СО ""ВЕРНА""",Краснодар,1127603.38083,-,-,-,-,678214.01686,63988.9283,24954.33334,-,-,39034.59496,614225.08856,71094.58078,37598.59344,-,-,119.3,2182.20025,129.4566,-,20628.87674,10436.15375,539021.38771,1186.24329,-,-,228.466,-,4497.96101,1987.99127,531120.72614,73.84422,4035.27585,-,-,-,449389.36397,449389.36397,-,-,-
164,2397,"ООО СО ""Геополис""",Москва,171034.31713,-,-,-,-,132445.50467,13922.26228,47.51252,-,-,13874.74976,118523.24239,117392.39221,105384.65014,-,-,-,-,-,-,1990.16113,10017.58094,1130.85018,1056.88118,-,-,-,-,-,73.969,-,-,-,-,-,-,38588.81246,38588.81246,-,-,-
166,0397,"ООО Страховая Компания  ""Гелиос""",Москва,1806767.10799,-,-,-,-,1223652.95225,510333.67708,383743.60559,-,-,126590.07149,713319.27517,492102.26763,136450.47309,-,394.56,10301.16058,18034.98158,-,-,84970.66088,241950.4315,174214.34293,72715.36894,-,241.4003,1107.0636,1837.645,363.21524,94099.64985,3850,-,47002.66461,-,-,-,583114.15574,578418.45532,4695.70042,-,-
167,2243,"ПАО ""АСКО-СТРАХОВАНИЕ""",Челябинск,3657473.15871,-,-,-,-,760752.2081,181820.29428,94271.00269,-,-,87549.29159,578931.91382,569567.21447,497717.4877,-,-,-,922.21858,-,-,13676.31651,57251.19168,9364.69935,2312.87859,-,-,-,-,304.5,6747.32076,-,-,-,-,-,-,2896720.95061,2896720.95061,-,-,-
168,1834,"ПАО ""САК ""ЭНЕРГОГАРАНТ""",Москва,6868181.07324,-,-,-,-,5623677.57727,1594567.47744,770562.79384,1401.5055,-,824004.6836,4029110.09983,3764444.18349,2374696.06316,1001.04605,8310.01375,7441.92789,413737.47408,81276.79911,63597.03338,613907.59383,264073.26562,211329.47729,21454.01348,198,-,11446.92266,27269.53807,5478.01683,144330.15318,1152.83307,14089.67042,39246.76863,-,-,-,1244503.49597,1118186.23419,49301.95311,77015.30867,-
169,0001,"ПАО СК ""Росгосстрах""",Люберцы,30430162.71523,-,-,-,-,23400637.4671,3030163.18928,2019590.23967,-,-,1010572.94961,20370474.27782,19672390.67383,8618906.05058,32779.41292,15460.3244,28054.21226,66144.93356,173390.50859,4812.71388,374687.95797,10362967.27355,652857.95425,307669.80403,-,480.57287,33966.61019,7422.90448,4053.25772,297748.16426,1516.6407,2446.39059,42779.25915,-,-,-,7029525.24813,6892188.87248,81356.2575,55980.11815,-
170,0621,"САО ""ВСК""",Москва,45877536.92158,0,0,-,0,36890001.48885,11226776.94067,6223354.83866,678.1436,0,5003422.10201,25663224.54818,21377886.68216,13025539.90947,33838.5668,638717.32866,79119.91357,1000655.98243,113634.51859,32090.56886,3242331.87435,3244048.58829,2862132.66082,999556.25008,60,28417.65549,19260.13142,128172.54632,198210.97306,417016.60235,1071438.5021,25755.49032,1397449.71488,0,0,0,8987535.43273,8510489.17955,263496.55556,213549.69762,0
171,0448,"САО ""ГЕОПОЛИС""",Москва,37272.383,-,-,-,-,37272.383,37272.383,-,-,-,37272.383,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
172,4246,"САО ""Кристалл""",Москва,4018.122,-,-,-,-,4018.122,-,-,-,-,-,4018.122,-,-,-,-,-,-,-,-,-,-,3970.622,-,-,-,-,-,3970.622,-,-,-,47.5,-,-,-,-,-,-,-,-
173,0348,"САО ""ЛЕКСГАРАНТ""",Москва,162344.80371,-,-,-,-,162344.80371,10462.05546,663.54132,-,-,9798.51414,151882.74825,27528.97893,9577.0991,-,11407.79745,-,499.09838,-,-,5526.92642,518.05758,21488.78458,-,-,20589.97308,-,-,-,709.7645,189.047,-,102864.98474,-,-,-,-,-,-,-,-
174,0141,"САО ""Медэкспресс""",Санкт-Петербург,593185.04327,-,-,-,-,584994.68108,563892.31305,5849.11639,-,-,558043.19666,21102.36803,20479.96808,16714.16104,-,-,-,815.40542,-,-,1569.8941,1380.50752,622.39995,289.662,-,-,-,-,-,332.73795,-,-,-,-,-,-,8190.36219,8190.36219,-,-,-
175,2182,"САО ""Надежда""",Красноярск,584464.11027,-,-,-,-,116689.28297,46019.16112,26050.83501,-,-,19968.32611,70670.12185,63533.3305,49929.06992,-,-,150,129.69242,-,-,2656.72587,10667.84229,3072.16726,-,-,-,584.319,-,-,2250.57826,237.27,-,4064.62409,-,-,-,467774.8273,467774.8273,-,-,-
176,0177,САО ЭРГО,Москва,3510278.40826,-,-,-,-,3159625.92735,131582.75781,117722.97481,-,-,13859.783,3028043.16954,2968146.17293,2759149.1746,194.6518,-,141.46385,54725.57781,-,-,87661.83561,66273.46926,58234.48886,46443.22323,-,-,-,263.4,3092.11576,8435.74987,-,402.61945,1259.8883,-,-,-,350652.48091,350652.48091,-,-,-
178,0928,"СПАО ""Ингосстрах""",Москва,42919803.35428,-,-,-,-,31243967.76041,6505507.27809,1085754.99783,4535.9495,-,5419752.28026,24738460.48232,22152626.15655,17311803.25155,44509.26148,105723.00147,540462.98358,616244.85196,19411.70063,-,2349997.81871,1164473.28717,1762057.26387,334941.34784,-,13443.7222,411436.62888,164963.45412,155536.36593,678444.99141,3290.75349,44328.38048,779448.68142,-,-,-,11675835.59387,11371573.81015,143652.335,160609.44872,-
179,1209,"СПАО ""РЕСО-Гарантия""",Москва,52920350.94968,10727.6366,10727.6366,-,-,37768660.45765,12137387.48925,2671074.30205,5348.85563,-,9466313.1872,25631272.9684,23328918.01139,18252520.21842,39533.20134,-,505.41183,459038.46795,2503.86693,-,1843266.89292,2731549.952,1467511.71909,805252.31371,4337,-,250.79079,107701.00884,45129.1722,502300.14039,2541.29316,157285.98992,677557.248,-,-,-,15140962.85543,14955882.12781,130074.73182,55005.9958,-
