1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
101,3969,"ООО ""СК Чабб""",Москва,89560.99871,-,-,-,-,89560.99871,5869.13498,5869.13498,3325,-,-,83691.86373,17130.44377,-,-,-,-,1775.9082,-,-,15332.71256,21.82301,6903.72124,-,-,-,-,-,-,-,-,6903.72124,-,59657.69872,-,-,-,-,-,-,-,-,-
102,4174,"ООО ""СКОР П.О.""",Москва,1023093.21366,-,-,-,-,1023093.21366,8721.42651,8289.3015,-,-,432.12501,1014371.78715,1012961.88644,37790.88418,86.12129,7889.99961,9548.35857,3459.74054,9541.36816,-,944645.41409,-,1409.90071,1267.26229,13.59355,-,-,-,-,-,-,142.63842,-,-,-,-,-,-,-,-,-,-,-
103,3941,"ООО ""СМП-Страхование""",Москва,3362.57473,-,-,-,-,3362.57473,-,-,-,-,-,3362.57473,3362.57473,3362.57473,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,4079,"ООО ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование Жизни""",Москва,3539.40532,3458.60883,3458.60883,3415.53223,-,80.79649,80.79649,80.79649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,1580,"ООО ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование""",Москва,5281.80295,-,-,-,-,5281.80295,2697.7798,8.97739,-,-,2688.80241,2584.02315,2476.94726,2332.42893,-,-,-,-,-,-,-,144.51833,-,-,-,-,-,-,-,-,-,-,-,-,107.07589,-,-,-,-,-,-,-,-
106,4133,"ООО ""Страховая  компания ""ЭчДиАй  Страхование""",Москва,99805.76084,-,-,-,-,99805.76084,-,-,-,-,-,99805.76084,78216.66264,-,-,-,-,76289.051,-,-,1927.61164,-,9424.93374,-,-,-,-,-,-,-,9424.93374,-,-,12164.16446,-,-,-,-,-,-,-,-,-
107,3193,"ООО ""СТРАХОВАЯ КОМПАНИЯ ""АРСЕНАЛЪ""",Москва,11885.54235,-,-,-,-,11885.54235,-,-,-,-,-,11885.54235,11885.54235,-,-,6651.94911,-,-,-,-,5233.59324,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
108,4117,"ООО ""Страховая компания ""Кредит Европа Лайф""",Москва,1745.9239,-,-,-,-,1745.9239,1745.9239,1745.9239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
109,2353,"ООО ""Страховая компания ""СДС"" ",Кемерово,500.75485,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500.75485,-,-,500.75485,-
110,4105,"ООО ""Страховая компания ""СиВ Лайф""",Москва,31254.69422,31237.83971,31237.83971,31057.60089,-,16.85451,16.85451,16.85451,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
