,,,,,,,,,,,,,,,,,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,средств воздушного транспорта,средств водного транспорта,грузов,"сельско-
хозяйственное страхование - всего",из него,прочего имущества юридических лиц,прочего имущества граждан,,"владельцев средств наземного транспорта 
(кроме средств железнодорожного транспорта)",      из него:,,владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,"организаций, эксплуатирующих опасные объекты","за причинение вреда вследствие недостатков товаров, работ, услуг",за причинение вреда третьим лицам,за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"страхование, осуществляемое с государственной поддержкой",,,,,"владельцев автотранспортных средств (кроме страхования, осуществляемого в рамках международной системы страхования «Зеленая карта»)","владельцев автотранспортных средств (страхование, осуществляемое в рамках международной системы страхования «Зеленая карта»)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3767,  АСКОР,Москва,68,0,0,0,0,0,68,12,12,0,0,0,56,55,54,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,2144,  АСКО-ЦЕНТР,Курск,542,103,0,0,0,0,542,447,38,0,0,409,95,94,85,0,0,0,0,0,0,4,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,1372,  АСТРАМЕД-МС,Екатеринбург,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,758,  АСТРА-МЕТАЛЛ,Магнитогорск,21288,0,0,0,0,0,21288,21288,0,0,0,21288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2619,  АСТРО-ВОЛГА,Самара,5512,0,0,0,0,0,1803,1414,222,0,0,1192,389,354,294,0,0,0,0,0,0,24,36,35,19,19,0,0,0,0,0,0,16,0,0,0,0,0,0,3709,3709,0,0,0
31,2684,  АСТРО-ВОЛГА-МЕД,Самара,1745,0,0,0,0,0,1745,1745,0,0,0,1745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,4334,  АТРАДИУС РУС КРЕДИТНОЕ СТРАХОВАНИЕ,Москва,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
33,518,  БАСК,Белово,44070,0,0,0,0,0,42402,42347,246,0,0,42101,55,55,42,0,0,0,3,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1668,1666,2,0,0
34,3487,  БИН СТРАХОВАНИЕ,Москва,3743,0,0,0,0,0,2485,1652,675,0,0,977,833,459,241,1,0,1,2,0,0,39,175,106,20,20,0,0,0,0,1,2,81,2,0,268,0,0,0,1258,1218,0,40,0
35,3991,  БЛАГОСОСТОЯНИЕ,Москва,6313,229,252,151,0,101,6061,6061,5521,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1207,  БЛАГОСОСТОЯНИЕ ОБЩЕЕ СТРАХОВАНИЕ,Москва,4711,3,0,0,0,0,4708,837,312,0,0,525,3871,3670,0,0,0,0,0,0,0,0,3670,10,0,0,0,0,0,0,0,0,10,0,0,191,0,0,0,3,3,0,0,0
37,3064,  БОРОВИЦКОЕ СТРАХОВОЕ ОБЩЕСТВО,Москва,83,0,0,0,0,0,35,29,0,0,0,29,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,0,0,0
38,3799,  БРИТАНСКИЙ СТРАХОВОЙ ДОМ,Москва,7027,0,0,0,0,0,7027,6658,12,0,0,6646,369,355,309,0,0,0,2,0,0,41,3,14,1,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
39,3245,  ВЕРНА,Краснодар,4948,0,0,0,0,0,1764,1550,270,0,0,1280,214,203,187,0,0,0,0,0,0,6,10,3,0,0,0,0,0,0,0,1,2,0,0,8,0,0,0,3184,3184,0,0,0
40,4170,  ВИС,Махачкала,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,3561,  ВИТАЛ-ПОЛИС,Москва,3736,0,0,0,0,0,3736,3729,2,0,0,3727,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3826,  ВИТА-СТРАХОВАНИЕ,Сургут,2200,0,1062,1035,0,27,1138,1138,51,0,0,1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1440,  ВОЗРОЖДЕНИЕ-КРЕДИТ,Красноярск,168,0,0,0,0,0,168,119,89,0,0,30,49,48,45,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,3570,  ВОСТОЧНО-СТРАХОВОЙ АЛЬЯНС,Владивосток,273,0,0,0,0,0,273,273,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,433,  ВОСТСИБЖАСО,Иркутск,2844,0,0,0,0,0,2844,2588,1154,0,0,1434,256,249,28,0,0,0,0,0,0,3,218,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
46,621,  ВСК,Москва,372754,8622,0,0,0,0,195921,134802,27485,0,0,107317,61119,59013,53892,0,9,0,939,45,1,839,3289,1924,1204,590,614,0,0,0,0,30,478,212,2,180,0,0,0,176833,176192,26,615,0
47,3866,  ВСК-ЛИНИЯ ЖИЗНИ,Москва,4960,0,762,277,0,485,95,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4103,4103,0,0,0,0,0,0
48,3978,  ВСК-МИЛОСЕРДИЕ,Москва,1296,0,0,0,0,0,1296,1296,0,0,0,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,257,  ВТБ МЕДИЦИНА,Москва,6501,0,0,0,0,0,6501,6501,0,0,0,6501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2890,  ВТБ МС,Москва,67,21,0,0,0,0,67,67,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3398,  ВТБ СТРАХОВАНИЕ,Москва,173633,0,0,0,0,0,170862,108135,30516,0,0,77619,62727,55399,4470,10,5,17,82,2,2,194,50619,693,142,140,2,0,2,0,0,92,455,2,0,6635,1470,1470,0,1301,1246,11,44,0
52,3995,  ВТБ СТРАХОВАНИЕ ЖИЗНИ,Москва,168,0,168,133,6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,3780,  ВЫРУЧИМ!,Екатеринбург,727,0,0,0,0,0,727,28,26,0,0,2,699,697,692,0,0,0,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
