,,,,,,,,,,,,,,,,,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,средств воздушного транспорта,средств водного транспорта,грузов,сельскохозяйственное страхование - всего,из него,прочего имущества юридических лиц,прочего имущества граждан,,Перевозчиков,,,,,Иных владельцев (кроме перевозчиков),,,,,"организаций, эксплуатирующих опасные объекты","за причинение вреда вследствие недостатков товаров, работ, услуг",за причинение вреда третьим лицам,за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"страхование, осуществляемое с государственной поддержкой",,,,Всего,в том числе,,,,Всего,в том числе,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,,,,,,,,,,,,,
106,507,  КОЛЫМСКАЯ,Хабаровск,144528,1675,92459,92220,0,239,52069,52069,20733,0,0,31336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1867,  КОМЕСТРА-ТОМЬ,Томск,65929,0,0,0,0,0,65929,33270,7759,0,0,25511,32659,31928,28166,0,0,0,11,0,0,237,3514,731,0,0,0,0,0,199,199,0,0,0,0,27,503,2,0,0,0,0,0,0,0,0,0,0
108,3993,  КОМПАНИЯ БАНКОВСКОГО СТРАХОВАН,Москва,151348,0,0,0,0,0,151348,6,5,0,0,1,151342,25027,0,0,0,0,0,0,0,0,25027,20346,0,0,0,0,0,0,0,0,0,0,0,0,20346,0,0,105969,0,0,0,0,0,0,0,0
109,3059,  КОМПАНИЯ ПРОМЫШЛЕННО-ТОРГОВОГО,Новокузнецк,6884,0,0,0,0,0,6884,6884,0,0,0,6884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,4279,  КООПЕРАТИВНОЕ ЕДИНСТВО,Новосибирск,196,0,0,0,0,0,196,0,0,0,0,0,196,196,41,0,0,0,0,0,0,122,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,4296,  КООП-РЕСУРС,Вологда,86,0,0,0,0,0,86,0,0,0,0,0,86,86,11,0,0,0,0,0,0,61,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,4209,  КОФАС РУС СТРАХОВАЯ КОМПАНИЯ,Москва,222,0,0,0,0,0,222,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0
113,4117,  КРЕДИТ ЕВРОПА ЛАЙФ,Москва,55818,4,78,78,0,0,55740,55740,55740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,4246,  КРИСТАЛЛ,Краснодар,687,0,0,0,0,0,687,0,0,0,0,0,687,0,0,0,0,0,0,0,0,0,0,687,0,0,0,0,0,0,0,0,0,0,0,687,0,0,0,0,0,0,0,0,0,0,0,0
115,3781,  КРК-СТРАХОВАНИЕ,Москва,6446,0,0,0,0,0,6446,1057,394,0,0,663,5389,4241,3464,0,1,5,20,0,0,320,431,1148,2,0,0,2,0,323,317,0,6,0,1,398,424,0,0,0,0,0,0,0,0,0,0,0
116,4325,  КРЫММЕДСТРАХ,Симферополь,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,4326,  КРЫМСКАЯ ПЕРВАЯ СТРАХОВАЯ КОМПАНИЯ,Симферополь,2064,0,0,0,0,0,2064,1494,1035,0,0,459,570,436,57,0,2,12,0,0,0,223,142,78,0,0,0,0,0,21,0,0,0,21,5,0,52,0,56,0,0,0,0,0,0,0,0,0
118,4337,  КРЫМСКИЙ СТРАХОВОЙ АЛЬЯНС,Красноперекопск,8233,0,0,0,0,0,8233,5681,5430,0,0,251,2552,2132,375,17,0,49,6,0,0,272,1413,371,0,0,0,0,0,0,0,0,0,0,0,0,351,20,1,48,0,0,0,0,0,0,0,0
119,4310,  КС СТРАХОВАНИЕ,Саранск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,348,  ЛЕКСГАРАНТ,Москва,21545,0,0,0,0,0,21545,237,173,0,0,64,21308,458,132,0,24,0,13,0,0,158,131,152,20,0,0,20,0,28,28,0,0,0,1,1,53,49,0,20698,0,0,0,0,0,0,0,0
121,1675,  ЛИБЕРТИ СТРАХОВАНИЕ,Санкт-Петербург,406225,180,0,0,0,0,304006,248685,39021,0,0,209664,55321,42140,23797,1,0,32,326,0,0,1142,16842,12816,0,0,0,0,0,10994,10960,0,0,34,18,48,1266,490,31,334,0,0,0,102219,101863,225,131,0
122,1427,  МАКС,Москва,1190331,0,0,0,0,0,412982,140967,128432,0,1,12535,272015,233241,51221,16,1,15,344,186,62,6446,175012,12968,2697,2604,0,23,70,0,0,0,0,0,81,166,9396,628,52,25754,0,0,0,777349,771021,1719,4609,0
123,4013,  МАКС-ЖИЗНЬ,Москва,7,0,6,6,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,4278,  МАКСИМУС,Ростов-на-Дону,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2226,  МАКС-М,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,195,  МАСКИ,Иркутск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,2877,  МЕГАРУСС-Д,Москва,88140,0,0,0,0,0,42086,15476,14678,0,0,798,26610,23159,18762,0,6,2,15,0,0,258,4116,72,0,0,0,0,0,19,7,0,9,3,1,13,37,2,0,3379,0,0,0,46054,46054,0,0,0
128,797,  МЕД-ГАРАНТ,Балашиха,5329,0,0,0,0,0,958,770,737,0,0,33,188,169,61,0,0,0,0,0,0,78,30,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,11,0,0,0,4371,4371,0,0,0
129,660,  МЕДИКА-ВОСТОК,Красноярск,19,0,0,0,0,0,19,19,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1660,  МЕДИКА-ТОМСК,Томск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,1958,  МЕДИЦИНСКАЯ СТРАХОВАЯ КОМПАНИЯ СТРАЖ,Рязань,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,484,  МЕДСТРАХ,Москва,311,0,0,0,0,0,311,311,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,141,  МЕДЭКСПРЕСС,Санкт-Петербург,12580,0,0,0,0,0,6207,4822,1057,0,0,3765,1385,1143,703,0,0,0,5,0,0,45,390,242,0,0,0,0,0,116,116,0,0,0,0,0,126,0,0,0,0,0,0,6373,6373,0,0,0
134,3594,  МЕЖДУНАРОДНАЯ СТРАХОВАЯ ГРУППА,Москва,84772,677,0,0,0,0,84772,84141,83961,0,0,180,631,624,0,0,0,0,0,0,0,0,624,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0
135,1461,  МЕСКО,Москва,63414,0,0,0,0,0,63414,362,244,0,0,118,63052,19584,0,0,0,0,1,0,0,148,19435,37631,0,0,0,0,0,0,0,0,0,0,0,0,645,36986,0,5837,0,0,0,0,0,0,0,0
136,3256,  МЕТЛАЙФ,Москва,1015295,0,278686,276811,222123,1875,736609,736609,438378,0,0,298231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,166,  МИЛОСЕРДИЕ И БЛАГОПОЛУЧИЕ,Красногорск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
