1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
129,3879,"ООО ""СК ""ЭРГО Жизнь""",Москва,970905.37031,22627.07453,230022.22122,230022.22122,0,0,740883.14909,740883.14909,738942.64909,0,0,1940.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,3803,"ООО ""СК Доминанта""",Москва,24125.71823,0,0,0,0,0,24125.71823,6.48,6.48,0,0,0,24119.23823,21560.97392,0,0,0,0,19813.12,0,0,1747.85392,0,2558.26431,0,0,0,0,0,0,0,80,2478.26431,0,0,0,0,0,0,0,0,0,0,0
131,0574,"ООО ""СК Екатеринбург""",Екатеринбург,127856.31942,2778.05,0,0,0,0,127856.31942,42546.99318,2789.0315,0,0,39757.96168,85309.32624,83430.18282,72399.9395,0,0,0,893.52937,0,0,7697.28055,2439.4334,1547.64372,1084.60142,1084.60142,0,0,0,0,0,11.5,296.8478,154.6945,0,331.4997,0,0,0,0,0,0,0,0
132,3225,"ООО ""СК ИНТЕРИ""",Москва,226510.0663,0,0,0,0,0,227227.49619,0,0,0,0,0,227227.49619,221334.98638,221334.98638,0,0,0,0,0,0,0,0,5892.50981,5892.50981,5892.50981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,4104,"ООО ""СК КАРДИФ""",Москва,2022961.96587,145.98306,0,0,0,0,1758432.57511,1205911.99741,1205911.99741,0,0,0,552520.5777,167195.57751,127802.01059,0,0,0,0,0,0,0,39393.56692,3948.52552,0,0,0,0,0,0,0,0,3948.52552,0,0,381376.47467,0,0,0,0,0,0,0,0
134,0401,"ООО ""СК НИК-Лайф""",Ульяновск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,2917,"ООО ""СК НИК""",Ульяновск,53270.37051,0,0,0,0,0,53270.37051,46074.31813,2735.65135,0,0,43338.66678,7196.05238,5467.02919,2599.86483,0,2213.56642,0,518.51916,0,0,93.82671,41.25207,1051.17215,36.09115,36.09115,0,0,966.101,0,0,0,48.98,0,0,677.85104,0,0,0,0,0,0,0,0
136,3825,"ООО ""СК СОГАЗ-ЖИЗНЬ""",Москва,4171861.94174,3643.08261,4142038.4353,4136354.21897,18.09878,5684.21633,29823.50644,29823.50644,29722.31139,0,0,101.19505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,3857,"ООО ""СК Трудстрах""",Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,3998,"ООО ""СК Чабб Жизнь""",Москва,234.11254,0,0,0,0,0,234.11254,234.11254,234.11254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
