year_quarter,metric,linemain,insurer,value
2022-07-01,direct_premiums,все линии,3823,8.71155196052
2022-07-01,direct_premiums,все линии,3815,0.0197732999999998
2022-07-01,direct_premiums,все линии,3803,0.025158641529999602
2022-07-01,direct_premiums,все линии,3799,0.49018846985999953
2022-07-01,direct_premiums,все линии,3767,0.6865079258199995
2022-07-01,direct_premiums,все линии,3748,3.4078424874
2022-07-01,direct_premiums,все линии,3692,115.60995206999999
2022-07-01,direct_premiums,все линии,3609,3.47760681061
2022-07-01,direct_premiums,все линии,3594,1.28731556796
2022-07-01,direct_premiums,все линии,3528,0.250340844
2022-07-01,direct_premiums,все линии,3511,3.2778081537699997
2022-07-01,direct_premiums,все линии,3507,1.2127205159099996
2022-07-01,direct_premiums,все линии,3447,80.43430814197998
2022-07-01,direct_premiums,все линии,3398,3.047080617929999
2022-07-01,direct_premiums,все линии,3390,0.00021200044
2022-07-01,direct_premiums,все линии,3300,0.778520243979999
2022-07-01,direct_premiums,все линии,3268,0.0664012116499998
2022-07-01,direct_premiums,все линии,3947,0.29785100840999973
2022-07-01,direct_premiums,все линии,3954,2.617909740009999
2022-07-01,direct_premiums,все линии,3969,0.23240480809000028
2022-07-01,direct_premiums,все линии,3972,37.32345924301001
2022-07-01,direct_premiums,все линии,4365,3.59986392085
2022-07-01,direct_premiums,все линии,4362,0.0043827712400000005
2022-07-01,direct_premiums,все линии,4360,0.0035868147699997
2022-07-01,direct_premiums,все линии,4359,0.011534606569999599
2022-07-01,direct_premiums,все линии,4358,11.793277856880001
2022-07-01,direct_premiums,все линии,4354,0.0013295152499998
2022-07-01,direct_premiums,все линии,4349,0.0363241768999999
2022-07-01,direct_premiums,все линии,4334,2.21907046181
2022-07-01,direct_premiums,все линии,4331,29.4987010897
2022-07-01,direct_premiums,все линии,4326,0.5763197189599993
