year_quarter,metric,line_type,linemain,insurer,value
2022-01-01,ceded_losses,non-life,предпр. и фин риски,0290,0.011007951185
2022-01-01,ceded_losses,non-life,предпр. и фин риски,0928,0.00721084634
2022-01-01,ceded_losses,non-life,предпр. и фин риски,1083,0.000202137255
2022-01-01,ceded_losses,non-life,предпр. и фин риски,1208,0.00328546164
2022-01-01,ceded_losses,non-life,предпр. и фин риски,1209,0.015369485030000001
2022-01-01,ceded_losses,non-life,предпр. и фин риски,1307,0.14923685268
2022-01-01,ceded_losses,non-life,предпр. и фин риски,1675,0.0009471873299999
2022-01-01,ceded_losses,non-life,предпр. и фин риски,2239,0.0392754057499999
2022-01-01,ceded_losses,non-life,предпр. и фин риски,3211,0.000652745565
2022-01-01,ceded_losses,non-life,предпр. и фин риски,3947,0.00076047209
2022-01-01,ceded_losses,non-life,предпр. и фин риски,3969,0.00011312367
2022-01-01,ceded_losses,non-life,предпр. и фин риски,4189,0.0319286058
2022-01-01,ceded_losses,non-life,предпр. и фин риски,4209,0.00321231584
2022-01-01,ceded_losses,non-life,предпр. и фин риски,4293,0.00331178055
2022-01-01,ceded_losses,non-life,предпр. и фин риски,4331,0.028140083099999998
2022-01-01,ceded_losses,non-life,предпр. и фин риски,4334,0.01729476598
2022-01-01,ceded_losses,non-life,предпр. и фин риски,total,0.3128164856849998
2022-01-01,ceded_losses,non-life,прочая ответственность,0001,0.016606423920000002
2022-01-01,ceded_losses,non-life,прочая ответственность,0212,0.00144849938
2022-01-01,ceded_losses,non-life,прочая ответственность,0397,0.00058691341
2022-01-01,ceded_losses,non-life,прочая ответственность,0621,0.0060437088099999
2022-01-01,ceded_losses,non-life,прочая ответственность,0630,0.00160245781
2022-01-01,ceded_losses,non-life,прочая ответственность,0915,0.00023389379
2022-01-01,ceded_losses,non-life,прочая ответственность,0928,0.07913062762
2022-01-01,ceded_losses,non-life,прочая ответственность,1083,0.00197947642
2022-01-01,ceded_losses,non-life,прочая ответственность,1208,0.0368270467699999
2022-01-01,ceded_losses,non-life,прочая ответственность,1209,0.028458285910000002
2022-01-01,ceded_losses,non-life,прочая ответственность,1216,0.00195231814
2022-01-01,ceded_losses,non-life,прочая ответственность,1284,0.00233611263
2022-01-01,ceded_losses,non-life,прочая ответственность,1307,0.01876360566
2022-01-01,ceded_losses,non-life,прочая ответственность,1427,0.0028240325499999
2022-01-01,ceded_losses,non-life,прочая ответственность,1834,0.00673841071
2022-01-01,ceded_losses,non-life,прочая ответственность,2027,0.00096173674
2022-01-01,ceded_losses,non-life,прочая ответственность,2239,0.0147369577
2022-01-01,ceded_losses,non-life,прочая ответственность,2346,0.0001396409
2022-01-01,ceded_losses,non-life,прочая ответственность,2947,3.2000000000000003e-10
2022-01-01,ceded_losses,non-life,прочая ответственность,3193,0.00309685953
2022-01-01,ceded_losses,non-life,прочая ответственность,3211,0.0004664989299999
2022-01-01,ceded_losses,non-life,прочая ответственность,3229,0.00039580637
2022-01-01,ceded_losses,non-life,прочая ответственность,3947,0.00143207431
2022-01-01,ceded_losses,non-life,прочая ответственность,3954,0.00663
2022-01-01,ceded_losses,non-life,прочая ответственность,3969,0.0001971758199999
2022-01-01,ceded_losses,non-life,прочая ответственность,4133,0.00021220693
2022-01-01,ceded_losses,non-life,прочая ответственность,4174,0.00035506655
2022-01-01,ceded_losses,non-life,прочая ответственность,4372,6.70395e-05
2022-01-01,ceded_losses,non-life,прочая ответственность,4379,0.00067963487
2022-01-01,ceded_losses,non-life,прочая ответственность,total,0.2349025119999995
2022-01-01,ceded_losses,non-life,прочее имущество,0001,0.044396499
2022-01-01,ceded_losses,non-life,прочее имущество,0141,2.90625e-05
2022-01-01,ceded_losses,non-life,прочее имущество,0212,0.00054617802
2022-01-01,ceded_losses,non-life,прочее имущество,0235,0.07650138063
2022-01-01,ceded_losses,non-life,прочее имущество,0290,0.00043519407
2022-01-01,ceded_losses,non-life,прочее имущество,0397,0.02427050981
2022-01-01,ceded_losses,non-life,прочее имущество,0574,2.3e-05
2022-01-01,ceded_losses,non-life,прочее имущество,0585,1.883781e-05
2022-01-01,ceded_losses,non-life,прочее имущество,0621,0.03638261451
2022-01-01,ceded_losses,non-life,прочее имущество,0630,0.00012846658
2022-01-01,ceded_losses,non-life,прочее имущество,0915,0.018530162
2022-01-01,ceded_losses,non-life,прочее имущество,0928,0.03062749141
2022-01-01,ceded_losses,non-life,прочее имущество,1083,0.004775
2022-01-01,ceded_losses,non-life,прочее имущество,1182,0.00012768352
2022-01-01,ceded_losses,non-life,прочее имущество,1208,0.42605081289
2022-01-01,ceded_losses,non-life,прочее имущество,1209,0.11028568997
2022-01-01,ceded_losses,non-life,прочее имущество,1216,4.54425e-05
2022-01-01,ceded_losses,non-life,прочее имущество,1284,0.02956588828
2022-01-01,ceded_losses,non-life,прочее имущество,1580,1.5482e-05
2022-01-01,ceded_losses,non-life,прочее имущество,1834,0.08300907975
